項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,162934,48479,39911,18930,14634,11932,9067,7154,3951,2662,5906,308,69613,61580,6433,1097,503
,区部,All ku,,,,137726,39461,31397,16539,13063,10727,8409,6533,3466,2445,5386,300,59399,52069,5816,1030,484
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,199,13,14,5,4,11,25,18,12,4,70,23,246,65,56,40,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1923,168,281,296,266,269,255,175,51,38,113,11,1294,933,274,57,30
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4509,463,796,707,635,649,590,343,82,94,145,5,2270,1920,301,40,9
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3597,291,482,457,464,544,551,370,134,130,172,2,2266,1688,459,78,41
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3743,302,552,546,515,509,518,365,150,127,156,3,1933,1583,255,70,25
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,599,95,81,61,60,93,38,35,19,29,63,25,208,162,32,6,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,3993,474,646,501,477,504,538,315,139,110,247,42,2176,1741,314,79,42
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2421,563,495,321,280,232,184,105,64,51,119,7,1725,1470,206,33,16
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1906,383,377,257,205,202,182,123,49,32,85,11,1621,1314,232,57,18
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1293,310,257,133,124,112,84,68,47,36,100,22,795,650,105,29,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,2042,415,417,253,203,200,212,171,81,25,65,-,1294,1097,161,34,2
