年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成21,2009,0,13000,東京都,Tokyo-to,2002283,795794,1206489,154155,61268,92887,320540,127396,193143
平成22,2010,0,13000,東京都,Tokyo-to,1860923,739420,1121503,141414,56190,85225,291053,115647,175406
平成23,2011,0,13000,東京都,Tokyo-to,1839868,731045,1108823,139526,55439,84087,285806,113561,172245
平成24,2012,0,13000,東京都,Tokyo-to,1881425,748402,1133023,142357,56628,85730,280854,111719,169135
平成25,2013,0,13000,東京都,Tokyo-to,1912684,760726,1151957,143954,57255,86700,282736,112452,170284
平成25,2013,1,13100,区部,All ku,1422595,565949,856646,157021,62467,94554,293659,116826,176833
平成25,2013,2,13101,千代田区,Chiyoda-ku,18822,7493,11329,373633,148750,224883,638622,254246,384376
平成25,2013,2,13102,中央区,Chuo-ku,32041,12816,19225,240582,96231,144351,416839,166732,250107
平成25,2013,2,13103,港区,Minato-ku,91861,36642,55219,432252,172420,259832,721329,287730,433599
平成25,2013,2,13104,新宿区,Shinjuku-ku,58350,23212,35138,176773,70321,106452,259881,103381,156499
平成25,2013,2,13105,文京区,Bunkyo-ku,45510,18126,27385,214499,85430,129070,380556,151566,228990
平成25,2013,2,13106,台東区,Taito-ku,25732,10230,15502,141358,56197,85161,236671,94088,142582
平成25,2013,2,13107,墨田区,Sumida-ku,30925,12292,18633,122886,48843,74043,236959,94182,142776
平成25,2013,2,13108,江東区,Koto-ku,67381,26792,40589,141886,56417,85469,288256,114616,173639
平成25,2013,2,13109,品川区,Shinagawa-ku,63589,25302,38287,171313,68166,103147,307091,122193,184898
平成25,2013,2,13110,目黒区,Meguro-ku,61100,24338,36761,223023,88838,134185,418242,166601,251641
平成25,2013,2,13111,大田区,Ota-ku,102934,40917,62018,146831,58366,88465,283174,112563,170611
平成25,2013,2,13112,世田谷区,Setagaya-ku,172260,68479,103782,193071,76751,116319,369713,146972,222741
平成25,2013,2,13113,渋谷区,Shibuya-ku,65152,25946,39206,307730,122550,185180,481632,191804,289827
平成25,2013,2,13114,中野区,Nakano-ku,46700,18568,28133,147471,58633,88838,238408,94789,143619
平成25,2013,2,13115,杉並区,Suginami-ku,93522,37226,56296,168947,67249,101698,299284,119129,180155
平成25,2013,2,13116,豊島区,Toshima-ku,42404,16917,25486,146257,58350,87907,230785,92073,138712
平成25,2013,2,13117,北区,Kita-ku,39221,15582,23639,116941,46458,70483,213066,84646,128419
平成25,2013,2,13118,荒川区,Arakawa-ku,22877,9085,13792,111069,44110,66959,213387,84745,128643
平成25,2013,2,13119,板橋区,Itabashi-ku,63499,25243,38256,117741,46806,70935,220411,87621,132791
平成25,2013,2,13120,練馬区,Nerima-ku,95271,37883,57387,132408,52650,79758,272602,108397,164205
平成25,2013,2,13121,足立区,Adachi-ku,63788,25321,38466,92895,36876,56019,193145,76671,116474
平成25,2013,2,13122,葛飾区,Katsushika-ku,45950,18249,27701,104173,41371,62801,222228,88256,133972
平成25,2013,2,13123,江戸川区,Edogawa-ku,73705,29290,44415,109232,43408,65824,231976,92186,139790
平成25,2013,1,13200,市部,All shi,482874,191914,290960,116585,46336,70250,256145,101803,154342
平成25,2013,2,13201,八王子市,Hachioji-shi,58619,23287,35332,100946,40102,60845,225793,89698,136096
平成25,2013,2,13202,立川市,Tachikawa-shi,20112,7985,12127,112017,44474,67543,240244,95384,144860
平成25,2013,2,13203,武蔵野市,Musashino-shi,25965,10327,15638,184102,73223,110880,354172,140864,213308
平成25,2013,2,13204,三鷹市,Mitaka-shi,26924,10705,16220,144253,57352,86901,291948,116073,175875
平成25,2013,2,13205,青梅市,Ome-shi,12977,5154,7823,94353,37472,56881,239353,95057,144295
平成25,2013,2,13206,府中市,Fuchu-shi,31291,12441,18850,121452,48287,73165,263337,104698,158639
平成25,2013,2,13207,昭島市,Akishima-shi,11309,4487,6822,101254,40176,61078,228497,90664,137834
平成25,2013,2,13208,調布市,Chofu-shi,30652,12194,18458,135523,53914,81608,274261,109108,165153
平成25,2013,2,13209,町田市,Machida-shi,49578,19724,29853,115639,46007,69632,264792,105348,159445
平成25,2013,2,13210,小金井市,Koganei-shi,16711,6640,10071,138547,55053,83494,277368,110215,167153
平成25,2013,2,13211,小平市,Kodaira-shi,21506,8546,12961,113738,45194,68545,250052,99358,150694
平成25,2013,2,13212,日野市,Hino-shi,20462,8128,12334,112613,44731,67882,245492,97513,147979
平成25,2013,2,13213,東村山市,Higashimurayama-shi,15332,6085,9246,100486,39885,60601,231393,91844,139548
平成25,2013,2,13214,国分寺市,Kokubunji-shi,17283,6874,10410,142258,56578,85680,290759,115639,175120
平成25,2013,2,13215,国立市,Kunitachi-shi,11020,4383,6637,146157,58131,88026,299599,119160,180439
