年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成23,2011,0,13000,,総数,Tokyo-to,24341542,182542404,18029761,164431192,319990,12515138,991361,26907903,6218272,67328289,10500138,57679862,6311781,18111212,59219,593077,458944,2211200,5793618,15306935,
平成24,2012,0,13000,,総数,Tokyo-to,24405945,183598991,18133457,165571825,322327,12661521,1006140,27190736,6235692,67638018,10569297,58081549,6272488,18027166,59274,593745,456707,2200508,5756507,15232913,
平成25,2013,0,13000,,総数,Tokyo-to,24431102,184674165,18178522,166684718,320483,12625201,1004049,27886445,6229529,67827829,10624461,58345243,6252580,17989447,58136,588476,429398,2100585,5765046,15300386,
平成26,2014,0,13000,,総数,Tokyo-to,24466923,185309675,18233090,167360258,321179,12677806,1008821,28087240,6220148,67891712,10682942,58703500,6233833,17949417,57650,587833,427461,2093754,5748722,15267830,
平成27,2015,0,13000,,総数,Tokyo-to,24498186,186379779,18315681,168477508,321895,12731828,1017210,28564585,6239539,68172405,10737037,59008690,6182505,17902271,59159,599983,434140,2128594,5689206,15173694,
平成27,2015,1,13100,,区部,All ku,11891476,102524252,10228865,96447900,296733,11649625,752856,19515836,3875320,37916468,5303956,27365971,1662611,6076352,26066,312675,223647,1001451,1412898,4762226,
平成27,2015,5,13101,1,千代田区,Chiyoda-ku,175732,2785286,175732,2785286,19563,798473,34049,892417,69449,806638,52671,287758,-,-,-,-,-,-,-,-,
平成27,2015,5,13102,2,中央区,Chuo-ku,194855,2991407,186275,2947229,15309,620281,31353,923579,100487,1171803,39126,231566,8580,44178,1141,15149,656,7371,6783,21658,
平成27,2015,5,13103,3,港区,Minato-ku,305187,4389750,285770,4326623,30281,1247929,50262,1314602,87717,1102685,117510,661407,19417,63127,110,815,50,208,19257,62104,
平成27,2015,5,13104,4,新宿区,Shinjuku-ku,356298,3390700,356298,3390700,11885,417339,36371,997302,80143,941833,227899,1034226,-,-,-,-,-,-,-,-,
