年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成24,2012,13200,,市部,All shi,1440032,684499,6944,4051,2572,42109,404,-,4197,3265,51893,589,11916,16327,13841,219443,2941,185810,7289,2912,35158,40456,18918,84501
平成25,2013,13200,,市部,All shi,1448561,694086,6581,5160,8094,41750,411,-,4070,3145,46296,561,11783,16354,14328,228229,3090,188037,5987,2473,37288,40804,15515,74518
平成26,2014,13200,,市部,All shi,1502932,713044,6269,5209,12092,53204,381,-,2090,2814,41790,486,12731,16384,14087,244117,3096,191299,5697,2032,37635,47986,16959,73530
平成26,2014,13201,1,八王子市,Hachioji-shi,194227,90216,936,634,1469,7600,84,-,313,414,4711,74,1783,1943,2286,33915,2,27138,299,158,1467,4765,1626,12394
平成26,2014,13202,2,立川市,Tachikawa-shi,80055,38883,263,216,503,2780,-,-,88,122,37,24,508,953,756,14084,461,8571,448,72,1081,3476,2264,4465
平成26,2014,13203,3,武蔵野市,Musashino-shi,65781,38695,171,279,649,2135,-,-,57,45,40,13,346,898,713,8582,-,5739,166,65,2999,2489,586,1111
平成26,2014,13204,4,三鷹市,Mitaka-shi,67636,37228,250,291,675,2365,-,-,83,91,61,20,377,981,438,10106,-,7342,1045,95,552,1450,511,3674
平成26,2014,13205,5,青梅市,Ome-shi,48324,20452,273,140,326,1835,51,-,91,97,2685,22,947,500,563,7922,-,6520,145,4,1341,1177,846,2389
平成26,2014,13206,6,府中市,Fuchu-shi,95249,50091,368,337,782,3544,-,-,123,189,61,28,637,1516,1037,16626,4,9742,608,900,1137,3502,1395,2621
平成26,2014,13207,7,昭島市,Akishima-shi,44643,19313,167,122,284,1513,26,-,56,80,721,12,532,483,423,9671,13,5850,30,13,1355,1372,620,1985
平成26,2014,13208,8,調布市,Chofu-shi,86793,46568,316,330,766,2851,8,-,105,134,63,24,903,1131,628,12492,-,10094,204,191,1881,4677,650,2778
平成26,2014,13209,9,町田市,Machida-shi,143760,68165,683,534,1240,5323,40,-,228,319,1483,53,1419,1063,1721,24626,-,18162,228,10,5187,4406,1217,7653
平成26,2014,13210,10,小金井市,Koganei-shi,37998,20799,156,181,420,1417,-,-,52,61,116,10,196,511,430,5278,-,5340,16,82,1069,1227,328,308
平成26,2014,13211,11,小平市,Kodaira-shi,61396,31017,255,230,536,2305,17,-,85,146,901,20,314,759,258,9749,-,7477,65,14,1550,2879,463,2354
平成26,2014,13212,12,日野市,Hino-shi,63101,30225,284,220,511,2267,-,-,95,127,1233,22,452,754,708,9690,-,7893,878,106,2219,1948,904,2567
平成26,2014,13213,13,東村山市,Higashimurayama-shi,55665,20512,221,167,387,1822,-,-,74,123,4013,18,304,655,546,9659,-,8113,29,21,3003,664,498,4836
平成26,2014,13214,14,国分寺市,Kokubunji-shi,40806,22158,170,186,432,1479,-,-,57,63,273,11,525,724,431,5275,-,4902,110,19,429,1285,653,1624
平成26,2014,13215,15,国立市,Kunitachi-shi,28802,14563,114,120,278,978,-,-,38,40,243,10,212,436,175,4535,-,4260,109,72,808,497,445,870
平成26,2014,13218,16,福生市,Fussa-shi,23547,8049,94,61,140,748,-,-,31,28,2409,10,219,195,187,4105,1609,3319,18,3,633,1113,175,400
平成26,2014,13219,17,狛江市,Komae-shi,27018,11815,106,107,248,918,-,-,35,42,1749,7,151,316,311,3351,-,3399,16,32,1234,1032,391,1757
平成26,2014,13220,18,東大和市,Higashiyamato-shi,30466,12320,134,90,209,1014,-,-,45,77,1958,12,379,169,298,5449,-,4405,63,11,418,1347,237,1832
平成26,2014,13221,19,清瀬市,Kiyose-shi,29951,9184,109,77,177,884,-,-,36,58,4033,8,180,225,185,5761,28,4848,216,26,922,769,163,2062
平成26,2014,13222,20,東久留米市,Higashikurume-shi,38769,16698,176,131,303,1380,-,-,58,88,3053,14,281,365,66,6502,-,5431,150,19,50,1273,351,2381
平成26,2014,13223,21,武蔵村山市,Musashimurayama-shi,28770,10103,121,62,143,914,-,-,40,71,2077,11,317,115,135,5407,469,4205,320,4,1604,838,347,1469
平成26,2014,13224,22,多摩市,Tama-shi,52005,28717,242,187,432,2003,27,-,81,90,73,15,503,403,611,7750,26,6465,47,2,1372,1845,686,427
平成26,2014,13225,23,稲城市,Inagi-shi,37092,14461,138,113,263,1023,75,-,46,63,1177,10,294,350,304,5748,236,5476,103,85,1373,951,549,4254
平成26,2014,13227,24,羽村市,Hamura-shi,21928,11063,98,62,144,790,-,-,33,43,338,8,224,226,201,2995,248,3160,25,1,600,626,387,655
