年次,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
平成24,2012,出国, Departure,総数,Total,4664876,3062365,621552,20960,730604,63141,165773,481
平成25,2013,出国, Departure,総数,Total,5579939,3768594,719028,22491,803978,60227,205127,494
平成26,2014,出国, Departure,総数,Total,6712760,4643189,825033,23425,899413,66473,254686,541
平成26,2014,出国, Departure,東京,Tokyo,1493,777,90,27,525,6,68,-
平成26,2014,出国, Departure,羽田（空港）,Haneda(Airport),1784850,1316179,242132,6093,170048,11179,39087,132
平成26,2014,出国, Departure,成田（空港）,Narita(Airport),4926417,3326233,582811,17305,728840,55288,215531,409
平成24,2012,入国, Entry,総数,Total,4660688,3036606,627955,21140,739312,64521,170693,461
平成25,2013,入国, Entry,総数,Total,5556730,3719011,728440,22874,817154,59862,208938,451
平成26,2014,入国, Entry,総数,Total,6683874,4586723,837061,23661,914084,65000,256801,544
平成26,2014,入国, Entry,東京,Tokyo,374,339,15,-,12,-,8,-
平成26,2014,入国, Entry,羽田（空港）,Haneda(Airport),1751967,1291772,239821,6042,163723,9333,41159,117
平成26,2014,入国, Entry,成田（空港）,Narita(Airport),4931533,3294612,597225,17619,750349,55667,215634,427
,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　国籍別出入国者数 (平成24～26年) 4-26 PERSONS WHO ENTERED OR DEPARTED FROM TOKYO BY NATIONALITY ( 2012-2014 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,,
