年次,Year,月次 ,Month,総数 Total,立会市場 Auction Trades／計 Total,立会市場 Auction Trades／普通取引 Regular way,立会市場 Auction Trades／発行日取引 When-issued,立会市場 Auction Trades／立会外分売 Off-floor sell,ToSTNeT市場 ToSTNeT
平成22,2010,総数,Total,7315086,7061437,7060290,-,1130,253648
平成23,2011,総数,Total,9850350,9750706,9748847,-,1847,99644
平成24,2012,総数,Total,7703508,7592308,7588205,-,4084,111200
平成25,2013,総数,Total,22225351,21967423,21959787,-,6525,257927
平成26,2014,総数,Total,36199273,35895152,35889341,-,5755,304121
平成26,2014,1,Jan.,4392518,4379292,4379192,-,100,13225
平成26,2014,2,Feb.,2439993,2414750,2414378,-,372,25243
平成26,2014,3,Mar.,2251094,2219757,2217802,-,1955,31336
平成26,2014,4,Apr.,1826525,1805003,1805003,-,-,21521
平成26,2014,5,May,1624652,1599674,1598365,-,1309,24977
平成26,2014,6,June,1567613,1550606,1550556,-,50,17007
平成26,2014,7,July,2724801,2707213,2706859,-,350,17588
平成26,2014,8,Aug.,3139268,3113906,3113823,-,83,25362
平成26,2014,9,Sept.,3731481,3692094,3691304,-,790,39386
平成26,2014,10,Oct.,4054835,4032595,4032535,-,60,22239
平成26,2014,11,Nov.,3623062,3591800,3591300,-,500,31261
平成26,2014,12,Dec.,4823427,4788456,4788219,-,185,34970
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (2) 第二部 (平成22～26年) 15-7  SALES VOLUME BY TYPE OF TRADING (2) THE 2nd SECTION ( 2010-2014 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
注 1) 立会市場の計及びToSTNeT市場には，それぞれの過誤訂正分を含む。,,,,,,,,,
Note: 1) Figures in the ToSTNeT and Auction Trades (total) columns include corrections.,,,,,,,,,
資料：(株)東京証券取引所 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
