産業,Industry,組合数 Unions／平成25年 2013,組合数 Unions／平成26年 2014,組合員数 No. of Members／平成25年 2013,組合員数 No. of Members／平成26年 2014
総数,Total,7503,7469,2122563,2120469
農業，林業,Agriculture and forestry,5,4,346,288
漁業,Fisheries,11,13,1009,1017
鉱業，砕石業，砂利採取業,Mining and quarrying of stone and gravel,8,8,988,1035
建設業,Construction,351,347,210668,210226
製造業,Manufacturing,1267,1248,336354,335095
電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,132,140,20916,21270
情報通信業,Information and communications,583,579,203412,198688
運輸業，郵便業,Transport and postal activities ,1313,1302,192259,193220
卸売業，小売業,Wholesale and retail trade,849,857,283727,284545
金融業，保険業,Finance and insurance,552,541,255576,255434
不動産業，物品賃貸業,Real estate and goods rental and leasing,81,85,13783,13964
学術研究，専門・技術サービス業,Scientific research， professional and technical services,273,267,35022,34454
宿泊業，飲食サービス業,Accommodations， eating and drinking services,101,97,79450,86333
生活関連サービス業，娯楽業,Living-related and personal services and amusement services,133,136,54561,53196
教育，学習支援業,Education， learning support,453,451,95961,91248
医療，福祉,Medical， health care and welfare,435,433,118266,120093
複合サービス事業,Compound services,65,64,6466,6474
サービス業 (他に分類されないもの),Services， n.e.c.,456,448,84180,84887
公務 (他に分類されるものを除く),Government， except elsewhere classified,292,292,105952,103898
分類不能の産業,Industries unable to classify,143,157,23667,25104
,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　7  労働 7  LABOR,,,,,
7-7  産業別労働組合組織状況 （平成25年，26年） 7-7  LABOR UNIONS BY INDUSTRY ( 2013 and 2014 ),,,,,
6月30日現在,,,,,
Figures are as of June 30.,,,,,
資料：都産業労働局「労働組合基礎調査」 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,
