年度,Fiscal year,営業キロ Length of line(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled(km),輸送人員 Passengers,旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used (kWh)
平成22,2010,9.7,13,116359,79990,36369,18730,5182266,21488475,3987620,4365241
平成23,2011,9.7,13,121842,84739,37103,20070,5195180,22268787,4135559,4471505
平成24,2012,9.7,13,124979,85314,39665,21485,5626447,22849680,4232962,4825355
平成25,2013,9.7,13,133983,92697,41286,21670,5975594,24367806,4506370,5090115
平成26,2014,9.7,13,140992,98219,42773,22524,7100358,25777911,4834714,5759273
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-10  都営日暮里・舎人ライナーの運輸成績 (平成22～26年度) 4-10 OPERATIONS OF TOEI NIPPORI-TONERI LINER ( Fiscal Years 2010-2014 ),,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,
