年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成22,2010,0,13000,東京都,Tokyo-to,1740,977,763,173532,97251,76281,172797,95213,77584
平成23,2011,0,13000,東京都,Tokyo-to,1800,961,839,181384,96736,84648,178955,94246,84709
平成24,2012,0,13000,東京都,Tokyo-to,1855,954,901,186698,96547,90151,185263,94596,90667
平成25,2013,0,13000,東京都,Tokyo-to,1915,948,967,193757,96850,96907,193150,95318,97832
平成26,2014,0,13000,東京都,Tokyo-to,2019,935,1084,203170,96036,107134,202008,95034,106974
平成26,2014,1,13100,区部,All ku,1330,740,590,132664,76922,55742,130887,76467,54420
平成26,2014,2,13101,千代田区,Chiyoda-ku,9,6,3,737,487,250,746,510,236
平成26,2014,2,13102,中央区,Chuo-ku,30,16,14,2800,1702,1098,2468,1643,825
平成26,2014,2,13103,港区,Minato-ku,39,18,21,3520,2250,1270,3080,2176,904
平成26,2014,2,13104,新宿区,Shinjuku-ku,43,23,20,4408,2331,2077,4143,2333,1810
平成26,2014,2,13105,文京区,Bunkyo-ku,36,19,17,2932,1850,1082,2852,1816,1036
平成26,2014,2,13106,台東区,Taito-ku,24,14,10,2144,1298,846,2111,1263,848
平成26,2014,2,13107,墨田区,Sumida-ku,44,27,17,4386,2742,1644,4371,2690,1681
平成26,2014,2,13108,江東区,Koto-ku,86,44,42,8547,4517,4030,8352,4423,3929
平成26,2014,2,13109,品川区,Shinagawa-ku,71,43,28,6402,4219,2183,6584,4543,2041
平成26,2014,2,13110,目黒区,Meguro-ku,33,22,11,3149,2215,934,3104,2201,903
平成26,2014,2,13111,大田区,Ota-ku,95,50,45,9886,6015,3871,9743,5939,3804
平成26,2014,2,13112,世田谷区,Setagaya-ku,91,49,42,9693,4771,4922,10364,5141,5223
