年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成24,2012,13100,,区部,All ku,3144193,19103,392279,1591288,250868,10245,951,45788,287773,22484,403762,889,118579,183
平成25,2013,13100,,区部,All ku,3179555,18356,404619,1615333,252272,7993,972,42994,287310,22219,418733,826,107799,131
平成26,2014,13100,,区部,All ku,3442340,18467,467469,1727632,261671,7289,1092,41456,327218,31730,459514,122,98548,132
平成26,2014,13101,1,千代田区,Chiyoda-ku,76724,575,8265,31696,11550,109,-,1547,7268,5139,9897,-,677,-
平成26,2014,13102,2,中央区,Chuo-ku,79330,617,10086,24421,6162,184,63,3669,18500,371,14649,-,609,-
平成26,2014,13103,3,港区,Minato-ku,149212,729,19942,54208,11522,305,-,2547,11528,2771,44477,-,1184,-
平成26,2014,13104,4,新宿区,Shinjuku-ku,134996,751,17880,71006,13159,938,-,2003,10975,1194,12796,-,4293,-
平成26,2014,13105,5,文京区,Bunkyo-ku,77412,644,13417,37074,6553,127,-,603,3933,1138,12300,-,1622,-
平成26,2014,13106,6,台東区,Taito-ku,92370,673,12190,49158,7733,152,-,4055,4910,1420,8571,-,3508,-
平成26,2014,13107,7,墨田区,Sumida-ku,106573,653,12147,57290,7383,334,-,1816,8660,686,14639,-,2965,-
平成26,2014,13108,8,江東区,Koto-ku,172602,886,26611,87876,13407,166,-,987,10083,1275,28301,75,2934,-
平成26,2014,13109,9,品川区,Shinagawa-ku,139771,857,14053,61175,11134,416,-,1573,26953,1671,18963,7,2970,-
平成26,2014,13110,10,目黒区,Meguro-ku,88914,700,15251,39191,7829,178,6,654,5387,566,11865,-,7286,-
平成26,2014,13111,11,大田区,Ota-ku,239607,1028,28399,129271,16701,126,23,3454,27668,1634,24152,-,7153,-
平成26,2014,13112,12,世田谷区,Setagaya-ku,254882,949,33448,122193,20670,182,201,1592,31469,742,31108,-,12327,-
平成26,2014,13113,13,渋谷区,Shibuya-ku,86453,756,20247,37381,7259,164,-,623,3963,4062,9745,-,2254,-
平成26,2014,13114,14,中野区,Nakano-ku,127430,867,14941,57009,9901,263,2,715,20947,798,11744,-,10243,-
平成26,2014,13115,15,杉並区,Suginami-ku,166223,963,26156,87551,14177,701,88,816,10470,1031,22463,-,1808,-
平成26,2014,13116,16,豊島区,Toshima-ku,129284,651,40191,53392,7089,127,-,797,10994,434,12320,-,3289,-
平成26,2014,13117,17,北区,Kita-ku,126374,879,16630,70048,8682,180,0,2793,8146,1133,14673,30,3181,-
平成26,2014,13118,18,荒川区,Arakawa-ku,87393,624,11007,47749,6321,116,-,1819,5390,497,11513,-,2357,-
平成26,2014,13119,19,板橋区,Itabashi-ku,192685,931,24312,113598,14360,140,108,1190,9962,796,21342,-,5947,-
平成26,2014,13120,20,練馬区,Nerima-ku,245527,1072,26947,132625,17947,786,282,1697,27763,1233,28359,-,6815,-
平成26,2014,13121,21,足立区,Adachi-ku,265566,939,26166,147136,14612,856,114,1618,25238,992,39995,-,7900,-
平成26,2014,13122,22,葛飾区,Katsushika-ku,168820,839,16923,91485,11329,460,39,3262,16050,1276,22008,10,5005,132
平成26,2014,13123,23,江戸川区,Edogawa-ku,234193,886,32256,125101,16190,280,166,1627,20961,872,33633,-,2221,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成24～26年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2012-2014 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
