年,月,日,Month,Day,Year,回数 N-th time,人口 Population,選挙当日有権者数 Eligible voters as of election day／総数 Total,選挙当日有権者数 Eligible voters as of election day／男 Male,選挙当日有権者数 Eligible voters as of election day／女 Female,投票者数 Voters／総数 Total,投票者数 Voters／男 Male,投票者数 Voters／女 Female,投票率 Voter turnout (%)
平成15,4,13,Apr.,13,2003,15,12342328,9884071,4883939,5000132,4442195,2096928,2345267,44.94
平成19,4,8,Apr.,8,2007,16,12737099,10238704,5048491,5190213,5565127,2670962,2894165,54.35
平成23,4,10,Apr.,10,2011,17,13080718,10505848,5167465,5338383,6072604,2896964,3175640,57.8
平成24,12,16,Dec.,16,2012,18,13136914,10619652,5219233,5400419,6647744,3270040,3377704,62.6
平成26,2,9,Feb.,9,2014,19,13205631,10685343,5244839,5440504,4930251,2436670,2493581,46.14
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (4) 都知事選挙 （平成15～26年） 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (4) ELECTION OF THE TOKYO GOVERNOR ( 2003-2014 ),,,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,,
