年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成22,2010,総数,Total,,,,,,3132394,1769490,1362904,3132019,1769490,1362529
平成23,2011,総数,Total,,,,,,3092882,1762658,1330224,3092580,1762658,1329922
平成24,2012,総数,Total,,,,,,3198046,1815420,1382626,3197664,1815420,1382244
平成25,2013,総数,Total,,,,,,3334757,1899773,1434984,3334398,1899773,1434625
平成26,2014,総数,Total,,,,,,3394159,1938795,1455364,3394114,1938795,1455319
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,2366369,1338826,1027543,2366174,1338826,1027348
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,274195,123331,150864,276637,123331,153306
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,38581,18310,20271,38994,18310,20684
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,10620,3333,7287,11600,3333,8267
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,13406,6173,7233,14310,6173,8137
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,9623,4305,5318,9984,4305,5679
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,10012,4564,5448,9712,4564,5148
平成26,2014,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,11333,6056,5277,10963,6056,4907
