年次,Year,月次 ,Month,交換高 Clearings／枚数 (千枚) Number (thousand),交換高 Clearings／金額 (億円) Value (hundred million yen),交換高 Clearings／差額 (億円) Balance (hundred million yen),手形1枚の平均金額 (千円) Average value of a bill (thousand yen),交換日数 Transaction days,1日平均交換高 Daily average clearings／枚数 (千枚) Number (thousand),1日平均交換高 Daily average clearings／金額 (億円)Value (hundred  million yen)
平成22,2010,総数,Total,28512,2734096,1126628,9589,245,116,11159
平成23,2011,総数,Total,26635,2807245,1121807,10540,245,108,11458
平成24,2012,総数,Total,24965,2724093,1131672,10912,248,100,10984
平成25,2013,総数,Total,23475,2697595,1160615,11491,245,95,11010
平成26,2014,総数,Total,22034,2384046,943598,10820,244,90,9770
平成26,2014,1,Jan.,1996,217459,80851,10895,19,105,11445
平成26,2014,2,Feb.,1742,205547,82803,11799,19,91,10818
平成26,2014,3,Mar.,1840,235657,87451,12807,20,92,11782
平成26,2014,4,Apr.,1840,220991,89575,12010,21,87,10523
平成26,2014,5,May,1599,212838,97028,13311,20,79,10641
平成26,2014,6,June,2123,231438,85544,10901,21,101,11020
平成26,2014,7,July,2095,198343,84989,9467,22,95,9015
平成26,2014,8,Aug.,1499,161324,68763,10762,21,71,7682
平成26,2014,9,Sept.,2003,184483,66707,9210,20,100,9224
平成26,2014,10,Oct.,1774,175758,69988,9907,22,80,7989
平成26,2014,11,Nov.,1417,147977,57509,10443,18,78,8220
平成26,2014,12,Dec.,2101,192226,72384,9149,21,100,9153
,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,,
15-8  東京手形交換所扱い手形交換高 (平成22～26年) 15-8  AMOUNT OF BILLS CLEARED AT THE TOKYO CLEARING HOUSE ( 2010-2014 ),,,,,,,,,,
資料：全国銀行協会 「決済統計年報」 Source: Japanese Bankers Association,,,,,,,,,,
