年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成22,2010,13100,,区部,All ku,13939028,13315003,29032350,10469134,15962398,2666695,173134,6043,624022,1688889,431845,679814,123011,837,68332,-
平成23,2011,13100,,区部,All ku,13584767,12902171,29112977,10074853,15969720,2647061,172895,7367,682596,1764371,463196,695435,126135,854,67405,25007
平成24,2012,13100,,区部,All ku,13161171,12497317,29493582,9629292,16034855,2686705,174218,7102,663854,1833668,440923,712293,130918,941,66080,24993
平成25,2013,13100,,区部,All ku,13205242,12515751,29477862,9670446,16072109,2673590,171724,7096,679613,1884006,478224,730392,130130,1441,64562,25028
平成26,2014,13100,,区部,All ku,13424791,12731522,29498621,9783687,16237637,2767738,172994,7095,693268,1971103,475800,707031,123812,1316,67311,25028
平成26,2014,13101,1,千代田区,Chiyoda-ku,390276,352194,203133,280612,310518,71160,422,-,38081,40875,26209,45069,5507,181,6185,-
平成26,2014,13102,2,中央区,Chuo-ku,492648,462872,401833,316662,540759,141474,4513,223,29776,44748,25942,12339,2539,0,1294,-
平成26,2014,13103,3,港区,Minato-ku ,839045,806863,689213,610944,701337,192337,3582,-,32182,93074,29867,19037,788,9,1518,-
平成26,2014,13104,4,新宿区,Shinjuku-ku,593960,530313,960771,442154,558666,87173,986,-,63647,92100,31112,48550,6653,-,854,25028
平成26,2014,13105,5,文京区,Bunkyo-ku,431769,409853,723348,300272,417675,109581,-,-,21916,21546,10834,38058,10833,-,249,-
平成26,2014,13106,6,台東区,Taito-ku,246306,222047,399005,102772,443879,110707,8568,-,24259,41330,10981,26833,2351,60,10867,-
平成26,2014,13107,7,墨田区,Sumida-ku,248333,235106,593546,82543,540433,144720,7843,-,13227,169387,4196,19073,3592,35,5404,-
平成26,2014,13108,8,江東区,Koto-ku,521056,492461,1367551,348286,856553,139102,5062,11,28595,59092,14152,36432,9997,58,4388,-
平成26,2014,13109,9,品川区,Shinagawa-ku,719769,674677,1129772,533157,755175,131992,8194,1334,45093,110449,34761,34701,6085,19,4227,-
平成26,2014,13110,10,目黒区,Meguro-ku,426284,418707,768148,337013,518832,77907,3787,-,7577,57140,4981,9675,1837,14,745,-
平成26,2014,13111,11,大田区,Ota-ku,895391,877275,2489413,788924,1239687,79247,9067,37,18116,53855,15134,22924,1981,22,978,-
平成26,2014,13112,12,世田谷区,Setagaya-ku,1242944,1186293,2321804,883040,1196660,273486,29767,-,56651,81137,49617,16850,3535,226,3273,-
平成26,2014,13113,13,渋谷区,Shibuya-ku ,936367,877430,518904,776801,452005,96926,3695,-,58936,31767,31574,65390,22360,8,4995,-
平成26,2014,13114,14,中野区,Nakano-ku,241318,210373,914719,145682,446972,64691,-,-,30945,88024,24928,39410,5856,-,161,-
平成26,2014,13115,15,杉並区,Suginami-ku,612102,584782,1581318,402910,800810,178171,3701,-,27320,299718,20388,46280,5827,1,1104,-
平成26,2014,13116,16,豊島区,Toshima-ku,496505,461427,672764,364446,402782,94314,2667,-,35078,94523,27332,25091,7131,16,600,-
平成26,2014,13117,17,北区,Kita-ku,518349,502222,1121716,414499,689580,87723,-,-,16127,79495,15393,17285,602,-,132,-
平成26,2014,13118,18,荒川区,Arakawa-ku,204729,192478,523996,78285,415338,99299,9404,5490,12251,75739,9630,15905,2621,-,-,-
平成26,2014,13119,19,板橋区,Itabashi-ku,695460,685120,1834492,598501,859642,85360,1259,-,10340,41919,8324,10576,625,2,1389,-
平成26,2014,13120,20,練馬区,Nerima-ku,917431,882670,2845729,726915,1129406,141479,14277,-,34760,78189,25962,44933,8220,31,548,-
平成26,2014,13121,21,足立区,Adachi-ku,847854,789026,3154866,576850,1141583,196609,15567,-,58827,205145,37001,27172,3241,469,18117,-
平成26,2014,13122,22,葛飾区,Katsushika-ku,419873,398987,1657889,316578,768958,68886,13522,-,20886,80022,13133,62752,7589,55,109,-
平成26,2014,13123,23,江戸川区,Edogawa-ku,487021,478346,2624691,355841,1050387,95393,27112,-,8675,31829,4347,22696,4044,111,173,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成22～平成26年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2010-2014 ) ,,,,,,,,,,,,,,,,,,,,,
 注) 渋谷区の行政財産の総額には、温泉権を含む。,,,,,,,,,,,,,,,,,,,,,
Note: The total value of the public and administrative property of Shibuya-ku includes the right to hot spring.,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
