年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 Adjudication equivalent to agreement,既済 Disposed／調停に代わる審判 Adjudication in lieu of conciliation,既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 Adjudication equivalent to agreement,異議 Objection／調停に代わる審判 Adjudication in lieu of conciliation
平成25,2013,0,,総数,Total,22343,7153,15190,14455,7764,2645,3208,248,133,166,291,7888, - ,6
平成26,2014,0,,総数,Total,22818,7888,14930,15385,8326,2932,3005,273,457,132,260,7433, - ,60
平成26,2014,1,,別表第二調停事件総数,Total number of domestic relations conciliation cases stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,12784,4528,8256,8341,5084,1041,1597, - ,373,63,183,4443, - ,56
平成26,2014,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,28,15,13,21,3,7,11, - , - , - , - ,7, - , - 
平成26,2014,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,3387,1017,2370,2418,1541,310,403, - ,86,13,65,969, - ,26
平成26,2014,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,4502,1442,3060,2949,1777,373,586, - ,98,32,83,1553, - ,24
平成26,2014,3,,うち監護者の指定,(of which) Designation of a child custodian,394,131,263,269,124,34,96, - ,8,1,6,125, - , - 
平成26,2014,3,,うち養育費請求,(of which) Claim for child support payments,1955,528,1427,1399,904,160,206, - ,79,18,32,556, - ,11
平成26,2014,3,,うち面会交流,(of which) Visitation and contacts,1920,711,1209,1134,680,155,239, - ,10,13,37,786, - ,13
平成26,2014,3,,うち子の引渡し,(of which) Surrender of child custody ,233,72,161,147,69,24,45, - ,1, - ,8,86, - , - 
