年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／コールローン･買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／コールマネー・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
平成22,2010,総数,Total,101,1105,1705080,4456,55819,1339434,305235,1634966,108898,5957,1941683,32952,12976,169383,1806288,1043169,630738,132296,1633125,1633989,255219,180289,295028
平成23,2011,総数,Total,101,1110,1712953,4829,41684,1353866,312457,1651278,108759,8838,2069348,26572,14874,137364,1782726,1028891,634412,119327,1658780,1613456,252243,190180,279202
平成24,2012,総数,Total,99,1109,1768816,4345,36070,1416333,311946,1706557,129396,7555,1998574,26505,11851,218174,1857786,1066976,646351,144372,1712472,1683886,282785,218892,210738
平成25,2013,総数,Total,98,1127,1820402,3946,37356,1455844,323151,1757901,25685,3837,1694990,30042,16617,657315,1935184,1126543,655789,152770,1779135,1756798,275185,138287,259011
平成26,2014,総数,Total,98,1133,1875314,3593,36261,1514416,320927,1812455,18498,1679,1643081,25756,11719,1003517,2029151,1198126,663991,166955,1866372,1844132,291274,136096,320158
平成26,2014,4,Apr.,,1128,1794079,3483,39233,1454747,296493,1732137,18624,6098,1618731,24217,10318,679157,1910411,1090339,658056,161937,1768345,1731097,269052,111365,251495
平成26,2014,5,May,,1128,1785567,3846,38865,1452836,289898,1723603,20990,6191,1614492,20121,7396,734119,1899576,1092339,655363,151790,1751783,1720011,270913,126421,241879
平成26,2014,6,June,,1128,1801640,3457,38990,1450725,308350,1739615,24551,7327,1646081,24843,11132,774782,1912437,1098571,653394,160387,1768330,1731222,270794,134611,279127
平成26,2014,7,July,,1129,1786276,3312,38511,1449189,295147,1724345,24599,8644,1575313,22294,9345,852457,1872951,1048150,652455,172271,1732481,1692644,303501,143992,267065
平成26,2014,8,Aug.,,1129,1787519,3641,38524,1450418,294829,1725669,27064,8538,1591058,18978,6989,824490,1857474,1060839,655763,140791,1730787,1676905,299682,135526,262462
平成26,2014,9,Sept.,,1131,1822096,3334,36752,1461200,320711,1759685,24973,4785,1670983,26914,14142,842762,1936572,1116583,664871,155044,1781430,1756188,298968,137889,288345
平成26,2014,10,Oct.,,1131,1807152,3130,39083,1467334,297501,1744821,24788,7442,1627296,21539,9179,870836,1886419,1067296,664539,154496,1748436,1705659,324406,137787,279201
平成26,2014,11,Nov.,,1131,1829354,3582,40782,1480584,304303,1767022,30268,6850,1658238,19878,7607,897398,1926339,1109201,666376,150670,1779943,1744228,323306,152111,275258
平成26,2014,12,Dec.,,1132,1862403,3883,45296,1491457,321651,1799613,22222,6879,1667349,21572,6657,825545,1932499,1128451,668095,135866,1795409,1747554,320018,142654,299828
平成27,2015,1,Jan.,,1132,1845410,3732,42894,1487769,310896,1783098,32524,6717,1657903,20725,7814,910629,1927869,1108166,666277,153352,1792451,1743762,337970,161627,296829
平成27,2015,2,Feb.,,1133,1850015,3730,42297,1490604,313256,1787662,29764,5983,1633116,20176,6888,896836,1935089,1111139,662942,160919,1799911,1751164,313728,158560,289454
平成27,2015,3,Mar.,,1133,1875314,3593,36261,1514416,320927,1812455,18498,1679,1643081,25756,11719,1003517,2029151,1198126,663991,166955,1866372,1844132,291274,136096,320158
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成22～26年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2010-2014 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，新生銀行，あおぞら銀行及び農林中央金庫をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：一般社団法人全国銀行協会金融調査部　Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
