地域階層,国名,Country,マーク Mark,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
0,総額,Total,,14458496,23252466,6137426,11004199,8321070,12248267
1,アジア,Asia,,8459137,13251161,3378801,7619726,5080336,5631435
2,大韓民国,Republic of Korea,,927718,811205,333164,500603,594553,310602
2,中華人民共和国,China,,2288930,7775633,1037685,4607640,1251245,3167993
2,台湾,Taiwan,,1064169,1173041,303338,460278,760831,712763
2,香港,Hong Kong,,1624474,99432,514174,35705,1110300,63727
2,ベトナム,Vietnam,※,209516,484843,139916,399073,69600,85770
2,タイ,Thailand,,688618,795252,329812,513681,358806,281571
2,シンガポール,Singapore,,690054,517214,254192,182304,435862,334910
2,マレーシア,Malaysia,,338448,647970,137012,305582,201435,342387
2,フィリピン,Philippines,※,260463,347585,108753,214511,151710,133074
2,インドネシア,Indonesia,※,195252,278995,132369,226156,62882,52839
2,カンボジア,Cambodia,※,1018,29542,1018,29542,-,-
2,ミャンマー,Myanmar,※,2303,37129,1396,31453,907,5676
2,インド,India,※,137531,180055,70569,61791,66962,118264
2,バングラデシュ,Bangladesh,※,8198,43004,3512,33993,4686,9011
2,パキスタン,Pakistan,※,7042,3798,7042,3798,-,-
2,スリランカ,Sri Lanka,※,893,8081,893,8081,-,-
2,マカオ,Macau,※,6047,124,-,-,6047,124
1,中東,Middle East,,130113,153158,61290,37985,68823,115173
2,サウジアラビア,Saudi Arabia,※,28269,3479,14369,3421,13900,59
2,イスラエル,Israel,※,24002,139449,6606,28156,17396,111293
2,アラブ首長国連邦,United Arab Emirates,※,56652,3394,32294,1366,24358,2028
1,西欧,Western Europe,,2261130,4384132,939201,1364133,1321928,3019999
2,ノルウェー,Norway,※,7511,63060,3841,35586,3670,27474
2,スウェーデン,Sweden,※,25867,77769,12292,31567,13575,46202
2,デンマーク,Denmark,※,14706,137347,8939,57637,5766,79710
2,英国,Britain,,327068,315041,99365,97288,227702,217754
2,アイルランド,Ireland,,103177,254302,48931,24532,54246,229770
2,オランダ,Netherlands,※,444357,206652,265421,132785,178936,73867
2,ベルギー,Belgium,※,112965,111254,59064,35306,53902,75948
2,ルクセンブルク,Luxembourg,※,17958,1799,17958,1799,-,-
