年次,Year,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees ,1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees ,5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees ,10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees ,20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees ,30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees ,50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees ,100～299人 100-299 Persons／事業所数 Number of establishments,100～299人 100-299 Persons／従業者数 Number of employees ,300～499人 300-499 Persons／事業所数 Number of establishments,300～499人 300-499 Persons／従業者数 Number of employees ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees ,派遣・下請従業者のみの事業所数 Establishments with dispatched／subcontract workers only
平成13,2001,724769,8608794,417745,954023,150051,972509,78771,1057368,29039,691515,22563,848769,13839,940990,8107,1309198,1383,520303,1186,1314119,2085
平成18,2006,690556,8704870,388436,872658,142192,925477,80069,1077987,29343,698080,22900,862105,14191,971309,8147,1314004,1371,518855,1254,1464395,2653
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,
8-7  従業者規模別事業所数及び男女別従業者数 (平成13，18年) 8-7  ESTABLISHMENTS AND EMPLOYEES BY ESTABLISHMENT　EMPLOYMENT SIZE    (2001 and 2006),,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部経済統計課 「事業所・企業統計調査報告」 Source: Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,,,,,,,,
