年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成22,2010,0,13000,,東京都,Tokyo-to,,13175533,136,13030152,13175456,1609097,6,12923750,13133325,1606296,13,23550,17821,2801,117,82852,24310,100
平成23,2011,0,13000,,東京都,Tokyo-to,,13197992,137,13166874,13197807,1576663,6,12991750,13152982,1573809,13,23650,17725,2854,118,151474,27100,100
平成24,2012,0,13000,,東京都,Tokyo-to,,13236860,136,13166704,13236214,1561303,6,12991750,13192051,1558725,11,23650,17334,2578,119,151304,26829,100
平成25,2013,0,13000,,東京都,Tokyo-to,,13323735,139,13541730,13323644,1561863,6,13342750,13271120,1559142,11,23380,17153,2721,122,175600,35371,100
平成26,2014,0,13000,,東京都,Tokyo-to,,13430906,140,13524711,13430880,1558228,6,13354550,13376516,1555722,10,23380,16885,2506,124,146781,37479,100
平成26,2014,1,13100,,区部,All ku,,9190491,16,13034391,9190491,1516900,1,13013000,9181330,1516900, - , - , - , - ,15,21391,9161,100
平成26,2014,1,13200,,市部,All shi,,4156217,108,451190,4156457,36622,3,325800,4128139,36622, - , - , - , - ,105,125390,28318,100
平成26,2014,2,13201,1,八王子市,Hachioji-shi,※,577855,17,6888,577784, - , - , - ,568902, - , - , - , - , - ,17,6888,8882,99.99
平成26,2014,2,13202,2,立川市,Tachikawa-shi,※,180147,4,1180,180147, - , - , - ,180147, - , - , - , - , - ,4,1180, - ,100
平成26,2014,2,13203,3,武蔵野市,Musashino-shi,,142899,7,165863,143079,17512,1,145000,142899,17512, - , - , - , - ,6,20863,180,100
平成26,2014,2,13204,4,三鷹市,Mitaka-shi,※,188842,4,6005,188842, - , - , - ,184940, - , - , - , - , - ,4,6005,3902,100
平成26,2014,2,13205,5,青梅市,Ome-shi,※,136515,5,1170,136505, - , - , - ,135651, - , - , - , - , - ,5,1170,854,99.99
