種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,11240847,88645181,5683906,27630530,3553369,940005,976,10596,7582,2447,6323,8856,251701,600377,174710
一般財産 ,General assets,2,行政財産,Administrative assets,,9251473,80746665,5198828,26556912,3185622,840516,880,10139,7582,1955,5950,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,1989374,7898516,485078,1073618,367746,99489,96,457,-,492,373,8856,251701,600377,174710
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2515128,14037038,1553826,1900882,316681,481505,1,89,-,-,250,135,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1419752,6561341,676820,1884976,316629,425963,1,89,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,1095376,7475697,877006,15905,52,55541,-,-,-,-,-,135,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),13210195,249077286,939275,2974655,1133226,11110123,1856,167,-,-,818,-,23652,1078,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成26年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2014 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
