年次,Year,地域階層,地区コード,地域,District,総数 Total,男 Male,女 Female
平成23,2011,0,13000,東京都,Tokyo-to,10708899,5273506,5435393
平成24,2012,0,13000,東京都,Tokyo-to,10743373,5285004,5458369
平成25,2013,0,13000,東京都,Tokyo-to,10796645,5307987,5488658
平成26,2014,0,13000,東京都,Tokyo-to,10851237,5329444,5521793
平成27,2015,0,13000,東京都,Tokyo-to,10922566,5359997,5562569
平成27,2015,1,13100,区部,All ku,7499095,3673224,3825871
平成27,2015,3,13101,千代田区,Chiyoda-ku,46809,23166,23643
平成27,2015,3,13102,中央区,Chuo-ku,115613,54291,61322
平成27,2015,3,13103,港区,Minato-ku,190800,87804,102996
平成27,2015,3,13104,新宿区,Shinjuku-ku,259972,129566,130406
平成27,2015,3,13105,文京区,Bunkyo-ku,171363,80614,90749
平成27,2015,3,13106,台東区,Taito-ku,156152,80388,75764
平成27,2015,3,13107,墨田区,Sumida-ku,215255,107647,107608
平成27,2015,3,13108,江東区,Koto-ku,400723,198041,202682
平成27,2015,3,13109,品川区,Shinagawa-ku,313361,152741,160620
平成27,2015,3,13110,目黒区,Meguro-ku,227647,105490,122157
平成27,2015,3,13111,大田区,Ota-ku ,589428,294083,295345
平成27,2015,3,13112,世田谷区,Setagaya-ku,731487,342366,389121
平成27,2015,3,13113,渋谷区,Shibuya-ku,184130,87140,96990
平成27,2015,3,13114,中野区,Nakano-ku,271834,136795,135039
平成27,2015,3,13115,杉並区,Suginami-ku,467729,222226,245503
平成27,2015,3,13116,豊島区,Toshima-ku,226616,114333,112283
平成27,2015,3,13117,北区,Kita-ku,280418,138882,141536
平成27,2015,3,13118,荒川区,Arakawa-ku,164405,81836,82569
平成27,2015,3,13119,板橋区,Itabashi-ku,450794,222395,228399
平成27,2015,3,13120,練馬区,Nerima-ku,586783,284744,302039
平成27,2015,3,13121,足立区,Adachi-ku,545094,273844,271250
平成27,2015,3,13122,葛飾区,Katsushika-ku,366001,182849,183152
平成27,2015,3,13123,江戸川区,Edogawa-ku,536681,271983,264698
平成27,2015,1,13200,市部,All shi,3352882,1651306,1701576
平成27,2015,3,13201,八王子市,Hachioji-shi,455812,227553,228259
平成27,2015,3,13202,立川市,Tachikawa-shi,146397,72813,73584
平成27,2015,3,13203,武蔵野市,Musashino-shi,119546,56659,62887
平成27,2015,3,13204,三鷹市,Mitaka-shi,150052,72965,77087
平成27,2015,3,13205,青梅市,Ome-shi,112727,56401,56326
平成27,2015,3,13206,府中市,Fuchu-shi,206559,104405,102154
平成27,2015,3,13207,昭島市,Akishima-shi,91792,45773,46019
平成27,2015,3,13208,調布市,Chofu-shi,185287,90338,94949
平成27,2015,3,13209,町田市,Machida-shi,345253,168127,177126
平成27,2015,3,13210,小金井市,Koganei-shi,96950,47640,49310
平成27,2015,3,13211,小平市,Kodaira-shi,150782,73786,76996
平成27,2015,3,13212,日野市,Hino-shi,147860,74135,73725
平成27,2015,3,13213,東村山市,Higashimurayama-shi,123345,60011,63334
平成27,2015,3,13214,国分寺市,Kokubunji-shi,98690,48466,50224
平成27,2015,3,13215,国立市,Kunitachi-shi,61299,29766,31533
平成27,2015,3,13218,福生市,Fussa-shi,47114,23602,23512
平成27,2015,3,13219,狛江市,Komae-shi,66451,32091,34360
平成27,2015,3,13220,東大和市,Higashiyamato-shi,69637,34262,35375
平成27,2015,3,13221,清瀬市,Kiyose-shi,60475,28923,31552
平成27,2015,3,13222,東久留米市,Higashikurume-shi,95439,46441,48998
平成27,2015,3,13223,武蔵村山市,Musashimurayama-shi,56923,28475,28448
平成27,2015,3,13224,多摩市,Tama-shi,122201,59689,62512
平成27,2015,3,13225,稲城市,Inagi-shi,68780,34594,34186
平成27,2015,3,13227,羽村市,Hamura-shi,45245,23062,22183
平成27,2015,3,13228,あきる野市,Akiruno-shi,66038,32776,33262
平成27,2015,3,13229,西東京市,Nishitokyo-shi,162228,78553,83675
平成27,2015,1,13300,郡部,All gun,48156,24073,24083
平成27,2015,3,13303,瑞穂町,Mizuho-machi,27224,13852,13372
平成27,2015,3,13305,日の出町,Hinode-machi,13905,6762,7143
平成27,2015,3,13307,檜原村,Hinohara-mura,2123,1058,1065
平成27,2015,3,13308,奥多摩町,Okutama-machi,4904,2401,2503
平成27,2015,1,13350,島部,All Islands,22433,11394,11039
平成27,2015,2,13360,大島支庁,Oshima-shicho,11061,5480,5581
平成27,2015,3,13361,大島町,Oshima-machi,6781,3361,3420
平成27,2015,3,13362,利島村,Toshima-mura,268,143,125
平成27,2015,3,13363,新島村,Niijima-mura,2442,1175,1267
平成27,2015,3,13364,神津島村,Kozushima-mura,1570,801,769
平成27,2015,2,13380,三宅支庁,Miyake-shicho,2577,1389,1188
平成27,2015,3,13381,三宅村,Miyake-mura,2335,1258,1077
平成27,2015,3,13382,御蔵島村,Mikurajima-mura,242,131,111
平成27,2015,2,13400,八丈支庁,Hachijo-shicho,6740,3365,3375
平成27,2015,3,13401,八丈町,Hachijo-machi,6599,3282,3317
平成27,2015,3,13402,青ヶ島村,Aogashima-mura,141,83,58
平成27,2015,2,13420,小笠原支庁,Ogasawara-shicho,2055,1160,895
平成27,2015,3,13421,小笠原村,Ogasawara-mura,2055,1160,895
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,
22-1  選挙人名簿登録者数 (平成23～27年) 22-1  NUMBER OF REGISTERED VOTERS ( 2011-2015 ),,,,,,,,
各年9月2日現在 Figures are as of Sept. 2 of the year stated.,,,,,,,,
資料：都選挙管理委員会事務局 「選挙人名簿登録者数」（ホームページ） Source: Metropolitan Election Administration Commission,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,
