年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成25,2013,0,13000,,総数,Tokyo-to,5213,3277,300,3,3,1630,267,199,2131,25869,26,87,782,6047666
平成26,2014,0,13000,,総数,Tokyo-to,4830,3014,334,2,6,1474,222,185,2190,24036,871,97,794,4981293
平成26,2014,1,13100,,区部,All ku　,3553,2309,241,2,-,1001,164,139,1711,15634,-,65,581,3363399
平成26,2014,2,13101,1,千代田区,Chiyoda-ku ,120,89,6,-,-,25,-,1,7,737,-,1,4,517918
平成26,2014,2,13102,2,中央区,Chuo-ku,109,73,6,-,-,30,1,-,17,44,-,1,14,26885
平成26,2014,2,13103,3,港区,Minato-ku,182,132,11,-,-,39,2,-,74,138,-,1,23,57946
平成26,2014,2,13104,4,新宿区,Shinjuku-ku,249,177,10,-,-,62,7,5,77,501,-,1,55,133902
平成26,2014,2,13105,5,文京区,Bunkyo-ku,67,51,1,-,-,15,2,5,25,139,-,-,23,68383
平成26,2014,2,13106,6,台東区,Taito-ku,119,75,6,-,-,38,8,2,50,1103,-,4,33,185854
平成26,2014,2,13107,7,墨田区,Sumida-ku,93,60,4,-,-,29,3,4,37,134,-,1,14,33469
平成26,2014,2,13108,8,江東区,Koto-ku,226,145,16,2,-,63,1,8,94,749,-,6,36,159721
平成26,2014,2,13109,9,品川区,Shinagawa-ku ,151,99,9,-,-,43,3,2,52,274,-,3,16,82608
平成26,2014,2,13110,10,目黒区,Meguro-ku,70,50,3,-,-,17,2,-,40,294,-,-,9,47894
平成26,2014,2,13111,11,大田区,Ota-ku,228,149,22,-,-,57,10,17,103,650,-,2,50,130250
平成26,2014,2,13112,12,世田谷区,Setagaya-ku,209,142,12,-,-,55,24,14,177,1185,-,6,35,355823
平成26,2014,2,13113,13,渋谷区,Shibuya-ku,128,82,11,-,-,35,2,1,37,168,-,-,18,46779
平成26,2014,2,13114,14,中野区,Nakano-ku,104,73,6,-,-,25,4,6,66,400,-,5,16,96773
平成26,2014,2,13115,15,杉並区,Suginami-ku,142,93,12,-,-,37,9,9,114,961,-,9,17,128767
平成26,2014,2,13116,16,豊島区,Toshima-ku,123,94,6,-,-,23,8,2,70,342,-,1,15,31611
平成26,2014,2,13117,17,北区,Kita-ku,100,65,7,-,-,28,4,4,76,663,-,6,14,112856
平成26,2014,2,13118,18,荒川区,Arakawa-ku,78,54,2,-,-,22,16,4,36,739,-,2,19,78733
平成26,2014,2,13119,19,板橋区,Itabashi-ku,181,100,19,-,-,62,8,4,68,954,-,5,21,154901
平成26,2014,2,13120,20,練馬区,Nerima-ku,174,106,20,-,-,48,13,6,108,1187,-,2,38,296299
平成26,2014,2,13121,21,足立区,Adachi-ku,272,158,25,-,-,89,10,10,163,1725,-,6,42,242280
平成26,2014,2,13122,22,葛飾区,Katsushika-ku,203,109,10,-,-,84,5,14,96,449,-,1,24,83454
平成26,2014,2,13123,23,江戸川区,Edogawa-ku ,225,133,17,-,-,75,22,21,124,2098,-,2,45,290293
平成26,2014,1,13200,,市部,All shi ,1222,686,87,-,3,446,54,43,473,7800,225,27,207,1483144
平成26,2014,2,13201,1,八王子市,Hachioji-shi,199,100,26,-,1,72,9,4,64,988,20,2,25,254553
平成26,2014,2,13202,2,立川市,Tachikawa-shi,64,43,6,-,-,15,4,6,34,397,-,1,18,54201
平成26,2014,2,13203,3,武蔵野市,Musashino-shi,40,29,1,-,-,10,-,1,17,191,-,-,3,58382
平成26,2014,2,13204,4,三鷹市,Mitaka-shi,45,33,4,-,-,8,2,3,23,168,-,-,7,30786
平成26,2014,2,13205,5,青梅市,Ome-shi,59,17,3,-,2,37,3,-,21,235,205,1,7,14527
平成26,2014,2,13206,6,府中市,Fuchu-shi,79,50,8,-,-,21,2,-,27,299,-,1,14,85409
平成26,2014,2,13207,7,昭島市,Akishima-shi,52,29,2,-,-,21,2,1,19,292,-,1,4,53767
平成26,2014,2,13208,8,調布市,Chofu-shi,61,35,4,-,-,22,4,5,30,170,-,2,5,39268
平成26,2014,2,13209,9,町田市,Machida-shi,125,69,6,-,-,50,7,3,35,1913,-,6,32,210584
平成26,2014,2,13210,10,小金井市,Koganei-shi,27,16,2,-,-,9,1,2,12,424,-,3,4,133826
平成26,2014,2,13211,11,小平市,Kodaira-shi,50,34,1,-,-,15,-,-,21,23,-,-,6,3959
平成26,2014,2,13212,12,日野市,Hino-shi ,46,24,8,-,-,14,1,-,19,448,-,1,12,147750
平成26,2014,2,13213,13,東村山市,Higashimurayama-shi,51,19,5,-,-,27,3,4,13,65,-,1,6,7698
平成26,2014,2,13214,14,国分寺市,Kokubunji-shi,32,20,2,-,-,10,1,-,10,108,-,-,3,27320
平成26,2014,2,13215,15,国立市,Kunitachi-shi,19,11,3,-,-,5,-,1,5,55,-,1,9,51457
平成26,2014,2,13218,16,福生市,Fussa-shi,19,13,1,-,-,5,4,-,10,215,-,-,7,28287
平成26,2014,2,13219,17,狛江市,Komae-shi,22,15,-,-,-,7,1,-,14,58,-,-,5,7415
平成26,2014,2,13220,18,東大和市,Higashiyamato-shi,21,14,-,-,-,7,2,2,14,268,-,3,2,24129
平成26,2014,2,13221,19,清瀬市,Kiyose-shi,18,11,1,-,-,6,1,2,8,117,-,-,6,28373
平成26,2014,2,13222,20,東久留米市,Higashikurume-shi,27,9,-,-,-,18,3,1,12,255,-,-,9,49538
平成26,2014,2,13223,21,武蔵村山市,Musashimurayama-shi,30,7,1,-,-,22,-,-,3,-,-,-,2,3331
平成26,2014,2,13224,22,多摩市,Tama-shi,37,22,1,-,-,14,-,-,18,423,-,1,2,60966
平成26,2014,2,13225,23,稲城市,Inagi-shi,10,5,1,-,-,4,-,-,3,101,-,-,-,11180
平成26,2014,2,13227,24,羽村市,Hamura-shi,20,14,-,-,-,6,2,1,10,137,-,-,6,42545
平成26,2014,2,13228,25,あきる野市,Akiruno-shi,26,14,1,-,-,11,-,2,4,206,-,1,6,20152
平成26,2014,2,13229,26,西東京市,Nishitokyo-shi,43,33,-,-,-,10,2,5,27,244,-,2,7,33741
平成26,2014,1,13300,,郡部,All gun,40,13,5,-,2,20,1,1,4,145,632,2,-,122826
平成26,2014,2,13303,1,瑞穂町,Mizuho-machi,16,9,2,-,-,5,1,1,3,76,-,2,-,47273
平成26,2014,2,13305,2,日の出町,Hinode-machi ,13,3,2,-,-,8,-,-,1,54,-,-,-,7451
平成26,2014,2,13307,3,檜原村,Hinohara-mura,3,-,1,-,-,2,-,-,-,-,-,-,-,60
平成26,2014,2,13308,4,奥多摩町,Okutama-machi,8,1,-,-,2,5,-,-,-,15,632,-,-,68042
平成26,2014,1,13350,,島部,All islands,15,6,1,-,1,7,3,2,2,457,14,3,6,11924
平成26,2014,2,13361,1,大島町,Oshima-machi,4,-,1,-,-,3,-,-,-,-,13,1,1,-
平成26,2014,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,2,13363,3,新島村,Niijima-mura ,1,1,-,-,-,-,-,1,-,63,-,-,-,-
平成26,2014,2,13364,4,神津島村,Kozushima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,2,13381,5,三宅村,Miyake-mura ,2,-,-,-,-,2,-,-,-,-,-,1,-,-
平成26,2014,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,2,13401,7,八丈町,Hachijo-machi,8,5,-,-,1,2,3,1,2,394,1,1,5,11924
平成26,2014,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,2,13421,9,小笠原村,Ogasawara-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
