年度,Fiscal year,系統,Line,営業キロ Length of line(km),駅数 Stations,在籍車両数 Vehicles owned,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled／列車 Trains(km),走行キロ数 Distance traveled／客車 Vehicles(km),輸送人員 Passengers 1),旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used(Kwh)
平成22,2010,総数,Total,106.2,105,1094,5901666,3735796,2165870,326215,14818568,112736300,836106912,127586033,236110547
平成23,2011,総数,Total,106.2,105,1102,5822500,3712581,2109919,328525,14381599,109834863,821950342,125117446,231336877
平成24,2012,総数,Total,106.2,105,1110,6016100,3829430,2186670,333996,14982242,114425271,853930848,129939654,240969612
平成25,2013,総数,Total,106.2,105,1116,6197828,3969826,2228002,336416,14867053,113858204,884052121,133876981,241810030
平成26,2014,総数,Total,106.2,105,1132,6296239,4040701,2255538,336656,14968214,114922289,901628728,138686672,242208502
平成26,2014,浅草線,Asakusa Line,18.3,20,216,1278515,782786,495729,68576,2820215,22550738,244404981,30741603,43468146
平成26,2014,三田線,Mita Line,26.5,27,222,1448987,991642,457345,64272,3513807,21082842,219208002,29358663,40359156
平成26,2014,新宿線,Shinjuku Line,20.7,20,238,1701363,1123661,577702,73792,2961047,25903549,243356606,35962160,57002900
平成26,2014,大江戸線,Oedo Line,40.7,38,456,1867374,1142612,724762,130016,5673145,45385160,320820445,42624246,101378300
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-14  地下鉄の運輸成績 (2)  都営　 (平成22～26年度） 4-14 OPERATIONS OF SUBWAYS (2) TOEI SUBWAY ( Fiscal Years 2010-2014 ),,,,,,,,,,,,,,,
注 1) 「輸送人員」の総数は乗り換えによる重複分があるため， 内訳の計と一致しない。,,,,,,,,,,,,,,,
2) 新宿線の使用車両数， 旅客運賃収入及び使用電力量には， 都外分を含む。,,,,,,,,,,,,,,,
Note: 1) The total number of passengers does not match the total of the breakdowns due to duplication of transit passenger numbers.,,,,,,,,,,,,,,,
2) The railway vehicles used， passenger fare revenue， power used for the Shinjuku Line include figures from outside Tokyo.,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
