地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,9804473,142417,9691532,17830,2092823,61537,2628132,2565,160494,60485,4810083,2061,112941,315,13889,573,11892,1168,87045,5,115
1,13100,,区部,All ku,7118060,109343,7045914,11120,1329697,50556,2114707,2054,124736,45613,3476774,1207,72146,134,5240,265,5707,803,61084,5,115
5,13101,1,千代田区,Chiyoda-ku,73109,1371,73005,24,3134,695,32292,29,1967,623,35612,3,104,-,-,-,-,3,104,-,-
5,13102,2,中央区,Chuo-ku,137410,2241,137263,53,6226,851,36347,33,2201,1304,92489,3,147,-,-,-,-,3,147,-,-
5,13103,3,港区,Minato-ku,368498,4524,367629,152,24853,1752,83812,16,4227,2604,254737,23,869,2,23,3,91,18,755,-,-
5,13104,4,新宿区,Shinjuku-ku,328316,5755,327026,315,35888,3359,129572,13,1617,2068,159949,30,1290,-,-,5,103,24,1173,1,14
5,13105,5,文京区,Bunkyo-ku,171648,2557,171158,332,43128,1082,45508,209,10486,934,72036,19,490,1,11,2,49,16,430,-,-
5,13106,6,台東区,Taito-ku,175952,3027,175795,140,17626,1165,58432,2,477,1720,99260,4,157,3,144,1,13,-,-,-,-
5,13107,7,墨田区,Sumida-ku,216408,4041,215771,250,28259,2025,85298,7,1175,1759,101039,22,637,2,60,1,14,19,563,-,-
5,13108,8,江東区,Koto-ku,305240,4993,302387,238,27326,1694,69634,305,14548,2756,190879,41,2853,1,29,-,-,40,2824,-,-
5,13109,9,品川区,Shinagawa-ku,460421,7036,451246,514,54083,2171,93189,510,31824,3841,272150,56,9175,5,126,2,24,49,9025,-,-
5,13110,10,目黒区,Meguro-ku,199630,2838,198675,490,67231,1490,66323,5,742,853,64379,18,955,4,133,7,464,7,358,-,-
5,13111,11,大田区,Ota-ku,488205,7979,483783,934,110319,3562,148182,417,23838,3066,201444,83,4422,2,53,23,522,58,3847,-,-
5,13112,12,世田谷区,Setagaya-ku,637795,8729,633909,1810,219801,4143,172920,96,8264,2680,232924,80,3886,27,1606,16,316,37,1964,-,-
5,13113,13,渋谷区,Shibuya-ku,228639,3542,228225,297,41589,2087,91621,5,591,1153,94424,12,414,3,110,-,-,9,304,-,-
5,13114,14,中野区,Nakano-ku,201030,3796,200434,361,42542,2361,84028,108,2751,966,71113,23,596,6,179,5,117,11,253,1,47
5,13115,15,杉並区,Suginami-ku,416788,6114,411673,983,110250,2987,114901,17,1316,2127,185206,117,5115,14,357,28,496,75,4262,-,-
5,13116,16,豊島区,Toshima-ku,193917,3462,193818,331,37405,1746,65137,4,630,1381,90646,3,99,2,88,-,-,1,11,-,-
5,13117,17,北区,Kita-ku,298308,4982,295114,339,38502,3120,145210,-,-,1523,111402,78,3194,8,198,1,27,69,2969,-,-
5,13118,18,荒川区,Arakawa-ku,128078,2174,127344,192,22453,1151,45544,4,795,827,58552,30,734,5,136,7,206,18,392,-,-
5,13119,19,板橋区,Itabashi-ku,420497,6249,412208,471,59125,2014,85179,5,785,3759,267119,97,8289,6,169,17,293,73,7806,1,21
5,13120,20,練馬区,Nerima-ku,502239,7403,498157,984,116737,3402,140048,198,11733,2819,229639,155,4082,12,400,58,1260,84,2407,1,15
5,13121,21,足立区,Adachi-ku,418242,6445,414346,745,86868,3388,139001,2,242,2310,188235,103,3896,7,319,38,874,58,2703,-,-
5,13122,22,葛飾区,Katsushika-ku,381090,4963,363464,477,54421,1882,75691,7,1173,2597,232179,121,17626,12,422,34,612,75,16592,-,-
5,13123,23,江戸川区,Edogawa-ku,366600,5122,363484,688,81931,2429,106838,62,3354,1943,171361,86,3116,12,677,17,226,56,2195,1,18
2,13200,,市部,All shi,2641054,32558,2601015,6546,744081,10814,504930,482,34023,14716,1317981,830,40039,172,8172,297,5972,361,25895,-,-
5,13201,1,八王子市,Hachioji-shi,304312,3779,297495,800,96223,1544,65701,-,-,1435,135571,128,6817,34,1519,45,725,49,4573,-,-
5,13202,2,立川市,Tachikawa-shi,122643,1657,121738,328,35519,769,35848,5,802,555,49569,38,905,6,380,19,298,13,227,-,-
5,13203,3,武蔵野市,Musashino-shi,85092,1192,84431,260,32814,682,31584,1,100,249,19933,20,661,8,253,8,262,4,146,-,-
