地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,東京都管理道路 TMG managed roads／延長 Length,東京都管理道路 TMG managed roads／面積 Area,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／延長 Length,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／面積 Area,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／延長 Length,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／面積 Area,一般国道(指定区間) General national highways( Designated section )／延長 Length,一般国道(指定区間) General national highways( Designated section )／面積 Area,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／延長 Length,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／面積 Area,首都高速道路(株) Metropolitan Expressway Company Limited／延長 Length,首都高速道路(株) Metropolitan Expressway Company Limited／面積 Area,区市町村道 Municipal roads／延長 Length,区市町村道 Municipal roads／面積 Area
0,13000,,総数,Tokyo-to,24498186,186379779,2232240,41250352,74572,1210242,972209,20925404,804942,10861954,380517,8252752,239160,7122385,81778,4195949,200754,5459983,21744254,128351110
1,13100,,区部,All ku,11891476,102524252,893576,21517966,18030,455540,458529,12184635,36500,625039,380517,8252752,165099,5467254,14309,480119,200754,5459983,10617738,69598930
5,13101,1,千代田区,Chiyoda-ku,175732,2785286,24878,834469,-,-,9686,331765,-,-,15192,502704,10279,399735,-,-,9958,234063,130617,1317019
5,13102,2,中央区,Chuo-ku,194855,2991407,21160,794635,-,-,12332,481129,-,-,8828,313506,5151,161891,-,-,11437,320367,157107,1714514
5,13103,3,港区,Minato-ku,305187,4389750,47753,1532889,480,14309,19066,593625,-,-,28207,924955,13946,515914,-,-,20207,478019,223281,1862928
5,13104,4,新宿区,Shinjuku-ku,356298,3390700,51075,1356208,-,-,30966,798822,-,-,20109,557386,4257,126393,-,-,5230,128182,295736,1779917
5,13105,5,文京区,Bunkyo-ku,207447,1951634,26100,651361,-,-,7498,228390,-,-,18602,422971,8173,202203,-,-,2281,55425,170893,1042645
5,13106,6,台東区,Taito-ku,258407,2623098,21318,548066,-,-,8807,209970,-,-,12511,338096,6548,251841,-,-,2105,39693,228436,1783498
5,13107,7,墨田区,Sumida-ku,295507,2941736,26716,624287,-,-,9336,229207,-,-,17380,395080,6574,184040,-,-,9504,209661,252713,1923748
5,13108,8,江東区,Koto-ku,391587,5626035,55046,1736069,-,-,29982,1013073,-,-,25064,722996,9839,327247,-,-,16103,558992,310599,3003727
5,13109,9,品川区,Shinagawa-ku,386378,3825625,25935,740737,-,-,15260,501338,-,-,10675,239399,14639,439681,-,-,17351,565887,328453,2079320
5,13110,10,目黒区,Meguro-ku,358899,2303073,21416,466223,-,-,11751,334598,-,-,9665,131625,882,35464,-,-,5026,180321,331575,1621065
5,13111,11,大田区,Ota-ku,852177,7527998,42789,1169621,3559,98040,33878,989088,659,10616,4693,71877,17630,527683,-,-,16362,543351,775396,5287343
5,13112,12,世田谷区,Setagaya-ku,1185677,8213951,69955,1110738,2907,71644,35663,715320,5411,49737,25974,274037,10128,320097,5525,193366,6390,123550,1093679,6466200
5,13113,13,渋谷区,Shibuya-ku,272576,2779112,25881,704688,-,-,11693,357745,-,-,14188,346943,4509,210877,-,-,10614,283368,231572,1580179
5,13114,14,中野区,Nakano-ku,367641,2149146,26403,487688,-,-,12401,270053,-,-,14002,217635,-,-,-,-,2328,82644,338910,1578814
5,13115,15,杉並区,Suginami-ku,688701,4615041,56679,1055348,-,-,37998,847472,1596,19033,17085,188843,4327,178337,1059,21149,4615,102137,622021,3258070
5,13116,16,豊島区,Toshima-ku,308476,2368251,15426,437449,140,3080,8997,266664,-,-,6289,167705,4697,153818,-,-,4907,128505,283446,1648479
5,13117,17,北区,Kita-ku,372110,2970328,32081,745622,6310,192653,9860,258900,-,-,15911,294069,692,15845,-,-,3565,61070,335772,2147791
5,13118,18,荒川区,Arakawa-ku,215084,1662078,16368,393995,-,-,13123,329961,-,-,3245,64034,1049,36055,-,-,-,-,197667,1232028
5,13119,19,板橋区,Itabashi-ku,740441,5843103,27229,736681,-,-,9034,266549,-,-,18195,470132,17202,598326,-,-,12631,271439,683379,4236657
5,13120,20,練馬区,Nerima-ku,1130445,7377422,75118,1341946,-,-,36355,704472,9402,133104,29361,504370,2522,77085,4700,152990,-,-,1048105,5805401
5,13121,21,足立区,Adachi-ku,1048627,9745121,73657,1769908,-,-,27924,813147,19432,412549,26301,544212,7601,254034,-,-,17490,461126,949879,7260053
5,13122,22,葛飾区,Katsushika-ku,703474,5208271,44275,787210,-,-,30669,620558,-,-,13606,166652,8080,219304,-,-,6530,208419,644589,3993338
5,13123,23,江戸川区,Edogawa-ku,1075750,9236086,66318,1492128,4634,75814,36250,1022789,-,-,25434,393525,6374,231384,3025,112614,16120,423764,983913,6976196
