地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,110629,56541,54088,111023,58865,52158,-394,-2324,1930,205,116,89,89,58,31,2460,1135,1325,1.15,87000,23653
1,13100,,区部,All ku,78423,40112,38311,75626,40059,35567,2797,53,2744,152,84,68,67,43,24,1741,805,936,1.19,66558,16918
2,13101,1,千代田区,Chiyoda-ku,604,336,268,383,195,188,221,141,80,1,-,1,-,-,-,10,6,4,1.34,542,94
2,13102,2,中央区,Chuo-ku,1790,899,891,855,428,427,935,471,464,3,2,1,1,1,-,28,14,14,1.35,1559,314
2,13103,3,港区,Minato-ku,2854,1439,1415,1585,777,808,1269,662,607,4,4,-,2,2,-,45,23,22,1.39,2309,546
2,13104,4,新宿区,Shinjuku-ku,2329,1174,1155,2520,1315,1205,-191,-141,-50,5,-,5,2,-,2,75,24,51,0.97,2743,629
2,13105,5,文京区,Bunkyo-ku,1918,1012,906,1544,767,777,374,245,129,4,4,-,3,3,-,38,20,18,1.13,1626,303
2,13106,6,台東区,Taito-ku,1540,781,759,1956,1102,854,-416,-321,-95,4,4,-,3,3,-,39,14,25,1.22,1621,376
2,13107,7,墨田区,Sumida-ku,2247,1161,1086,2417,1265,1152,-170,-104,-66,5,4,1,3,2,1,47,19,28,1.22,2229,595
2,13108,8,江東区,Koto-ku,4562,2294,2268,3893,2167,1726,669,127,542,5,4,1,4,3,1,86,43,43,1.33,3235,955
2,13109,9,品川区,Shinagawa-ku,3462,1722,1740,2971,1554,1417,491,168,323,5,3,2,2,2,-,73,45,28,1.14,3126,662
2,13110,10,目黒区,Meguro-ku,2583,1339,1244,1915,991,924,668,348,320,6,3,3,2,1,1,50,20,30,1.05,2619,490
2,13111,11,大田区,Ota-ku,5803,2937,2866,6295,3327,2968,-492,-390,-102,11,7,4,5,4,1,123,51,72,1.19,5051,1310
2,13112,12,世田谷区,Setagaya-ku,7969,4108,3861,6393,3259,3134,1576,849,727,19,8,11,5,3,2,155,74,81,1.1,6604,1431
