年度末,End of fiscal year,基本財産 Basic properties,保証承諾 (年度中) Guarantees accepted (during the fiscal year)／件数 Cases,保証承諾 (年度中) Guarantees accepted (during the fiscal year)／金額 Value,代位弁済 (年度中) Payment in subrogation (during the fiscal year) 1)／件数 Cases,代位弁済 (年度中) Payment in subrogation (during the fiscal year) 1)／金額 Value,求償権残高 Right of recourse amount outstanding／件数 Cases,求償権残高 Right of recourse amount outstanding／金額 Value,保証債務残高 Outstanding guarantee liabilities／件数 Cases,保証債務残高 Outstanding guarantee liabilities／金額 Value
平成22,2010,220572,134693,2210458,13835,155950,38616,93393,504289,5404272
平成23,2011,230801,115237,1703082,11987,137722,36679,85716,500761,5268183
平成24,2012,243221,92537,1272085,10870,123703,33886,78989,480883,4793820
平成25,2013,256292,85167,1146353,8817,98756,29800,63174,453061,4305352
平成26,2014,268691,83941,1066403,7507,79720,25291,47866,429598,3891172
,,,,,,,,,,
東京都統計年鑑（平成26年） TOKYO STATISTICAL YEARBOOK ( 2014 ) 15 金融 15 FINANCE,,,,,,,,,,
15-3  信用保証協会事業状況 （平成22～26年度末） 15-3  OPERATION STATUS OF THE CREDIT GUARANTEE CORPORATION ( End of Fiscal Years 2010-2014 ),,,,,,,,,,
注 1) 利息を含む。,,,,,,,,,,
Note: 1) Includes interests.,,,,,,,,,,
資料：東京信用保証協会 「事業概況表」 Source: Credit Guarantee Corporation of Tokyo,,,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,,,
