項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,5213,28469,3813,2597
1,たばこ,Cigarettes,738,2664,474,465
2,こんろ,Gas table,574,1824,608,486
3,かまど,Kitchen stove,4,-,3,-
4,風呂かまど,Bathtub water heater ,8,439,10,7
5,炉,Furnace,18,-,17,-
6,焼却炉,Incinerator,8,80,8,2
7,ストーブ,Space heater ,118,1192,150,163
8,こたつ,Kotatsu， a Japanese table with a heating device,5,240,12,17
9,ボイラー,Hot water boiler,8,-,7,9
10,煙突・煙道,Chimney and flue,2,130,4,2
11,排気管,Exhaust pipe,44,5,13,1
12,電気機器,Electric machinery and appliances,250,894,232,109
13,電気装置,Electric equipment,100,717,80,21
14,電灯電話配線,Lighting and telephone wiring,156,1846,128,89
15,内燃機関,Internal-combustion engine,9,-,1,-
16,配線器具,Wiring devices ,279,1053,288,160
17,火遊び,Playing with matches／lighters,75,205,29,26
18,マッチ・ライター,Matches and lighters,62,216,46,50
19,たき火,Bonfire,59,2286,19,23
20,切断機・溶接機,Welding and cutting machines,40,387,19,2
21,灯火,Lighting,56,577,74,71
22,衝突の火花,Sparks caused by collision,6,45,1,6
23,取灰,Ash,4,27,5,1
24,火入れ,Kindling,1,-,-,-
25,放火,Arson,1531,3447,686,237
26,放火の疑い,Suspected arson,81,239,33,39
27,交通機関内配線,Wiring installed in transportation facilities ,36,-,4,-
28,その他,Others　,626,2409,495,269
29,不明・調査中,Unknown and currently under investigation,315,7547,367,342
,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成25年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2013 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
