区分,Items,計 Total,専門小売店 Specialty stores(Food),食料品等中心店 Semi-specialty stores(Food),コンビニエンスストア Convenience stores,食料品スーパー Food supermarkets,総合スーパー General supermarkets,百貨店 Department stores,業務用 Commercial use(restaurants),加工業者 Processors,問屋・納入業者 Wholesalers／suppliers,国外事業者 Foreign businesses 1),都内中央卸売市場 Central wholesale markets in Tokyo,都内地方卸売市場 Local wholesale markets in Tokyo,都外中央卸売市場 Central wholesale markets outside Tokyo,都外地方卸売市場 Local wholesale markets outside Tokyo,その他 Others 1),不明 Unknown
水産物計,Fishery products,1797443,392589,108245,15636,303133,142554,58667,232980,60743,77195,13548,37578,23975,67698,99267,143486,20149
青果計,Vegetables,9002485,2234784,245100,34516,2058641,991091,116396,788593,129515,609023,19397,290924,34009,249833,591221,165369,444072
畜産物計,Livestock products,409588,5394,437,-,2368,1541,286,19676,6099,321642,-,256,-,1244,-,50645,-
切花計,Cut flowers,7999324,3677295,4066,11629,95863,260608,106597,468542,704358,1868350,-,36173,3325,114353,585809,45709,16648
鉢物計,Potted flowers,854981,668768,28,-,2562,21205,922,2077,17484,125844,-,-,-,1270,3405,10002,1411
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,,,,,,,,,,,
10-5  中央卸売市場からの販売先数量（平成26年度） 10-5 SHIPMENT TO RETAILERS FROM THE CENTRAL WHOLESALE MARKET （ Fiscal Year 2014 ）,,,,,,,,,,,,,,,,,,
調査当日の販売結果の数量を基にした推計値である。,,,,,,,,,,,,,,,,,,
Estimates based on sales on the day of the survey.,,,,,,,,,,,,,,,,,,
注 1) 平成26年度から，これまで「その他」に含まれていた「国外事業者」について新たに項目が設けられた。,,,,,,,,,,,,,,,,,,
"Note: 1) Starting from fiscal 2014， ""Foreign businesses，"" which was previously included in ""Others，"" is presented as a separate item.",,,,,,,,,,,,,,,,,,
資料：都中央卸売市場管理部市場政策課 「平成26年度市場流通推計調査報告書」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,,,,,,,,,,,
（単位　kg，本，鉢） （In kg， pieces， pots）,,,,,,,,,,,,,,,,,,
