年次,Year,月次 ,Month,立会日数 Trading days,上場会社数(年・月末) Number of listed companies (End of y.& m.),時価総額(年・月末)(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数(千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証株価指数平均 (TOPIX) Tokyo stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成22,2010,総数,Total,245,1670,305693030,2088554,135.69,885.43,240.36,1.91
平成23,2011,総数,Total,245,1672,251395748,2141414,139.94,820.8,228.49,2.03
平成24,2012,総数,Total,248,1695,296442945,2095784,140.67,768.64,219.08,2.18
平成25,2013,総数,Total,245,1774,458484253,3436155,220.95,1125.94,296.09,1.65
平成26,2014,総数,Total,244,1858,505897342,2511685,154.75,1263.58,297.26,1.59
平成26,2014,1,Jan.,19,1779,431693051,3125934,15.08,1275.17,315.84,1.47
平成26,2014,2,Feb.,19,1782,429176802,2872145,13.82,1200.83,296.8,1.57
平成26,2014,3,Mar.,20,1797,427231620,2496605,12.6,1190.57,291.02,1.59
平成26,2014,4,Apr.,21,1807,414201211,2176589,11.47,1171.18,280.6,1.62
平成26,2014,5,May,20,1810,427851548,2261305,11.3,1174.62,279.35,1.72
平成26,2014,6,June,21,1814,449921599,2387463,12.52,1246.22,295.58,1.67
平成26,2014,7,July,22,1816,459765395,2271600,12.48,1275.72,300.93,1.62
平成26,2014,8,Aug.,21,1817,455629079,2139923,11.25,1271.5,299.43,1.61
平成26,2014,9,Sept.,20,1822,472898885,2369616,11.89,1313.29,305.41,1.56
平成26,2014,10,Oct.,22,1832,478096766,2660779,14.7,1253.99,285.59,1.64
平成26,2014,11,Nov.,18,1838,505296302,3076026,13.9,1385.33,307,1.52
平成26,2014,12,Dec.,21,1858,505897342,2460609,12.96,1411.59,312.33,1.48
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (1) 第一部 (平成22～26年) 15-6  TRANSACTIONS OF STOCK (1) THE 1st SECTION ( 2010-2014 ),,,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注 1) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: 1) Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
