年次および種類,Year and kind,月次 ,Month,第3次産業総合 Tertiary industry,第3次産業総合 Tertiary industry／電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,第3次産業総合 Tertiary industry／情報通信業 Information and communications,第3次産業総合 Tertiary industry／運輸業，郵便業 Transport and postal activities,第3次産業総合 Tertiary industry／卸売業，小売業 Wholesale trade and Retail trade,第3次産業総合 Tertiary industry／金融業，保険業 Finance and insurance,第3次産業総合 Tertiary industry／不動産業，物品賃貸業 Real estate and goods rental and leasing,第3次産業総合 Tertiary industry／学術研究，専門・技術サービス業 Scientific research， professional and technical services,第3次産業総合 Tertiary industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,第3次産業総合 Tertiary industry／生活娯楽関連サービス Living and amusement-related services,第3次産業総合 Tertiary industry／学習支援業 Learning support,第3次産業総合 Tertiary industry／医療，福祉 Medical， health care and welfare,第3次産業総合 Tertiary industry／複合サービス事業 Compound services,第3次産業総合 Tertiary industry／その他サービス業(公務等を除く) Miscellaneous services( except Government services etc. )
ウェイト ,Weight,,,10000,161.9,1457.4,618.3,2293,1489.9,1206.1,763,462.7,405.7,131.1,477.2,1.2,532.5
平成22,2010,平均,Average,99.3,100.4,109.3,103.1,88.6,103.4,100.9,94.6,111.9,91.7,80.9,115.1,101.7,90.6
平成23,2011,平均,Average,99.5,93.2,109.2,121.1,86.6,104.7,99,95.7,107.8,87.4,80.8,119,102.5,86.6
平成24,2012,平均,Average,101.5,94.8,112,125.4,85.7,107.7,97.7,101.1,113.5,92.1,81.8,123.8,101.1,88.1
平成25,2013,平均,Average,103.7,92.8,115.9,127.3,83.6,117.9,97.1,102.1,121.7,92.8,81.2,126.9,99.7,87.7
平成26,2014,平均,Average,104.6,90.6,118.4,150.3,81.4,118.7,95.4,100.1,114.1,91.7,80.5,129.7,99,91.3
平成26,2014,1,Jan.,104.2,91.9,117.8,129.9,83.4,118.8,96.5,100.5,118.3,97.7,81,128.3,99.1,88.1
平成26,2014,2,Feb.,104.1,91.8,119.2,131.4,84.4,117.7,95.1,99.9,106.2,89.2,80.9,128.1,99,89
平成26,2014,3,Mar.,105.5,93.2,116.8,144.6,90.9,116.9,95.8,101.6,112.5,96,80.4,128.8,98.9,90.9
平成26,2014,4,Apr.,103.1,91.4,116.9,150.2,78.7,114.5,95.1,103.4,114.6,93.4,80.2,129.3,98.9,90.5
平成26,2014,5,May,104.2,91.2,117.8,152.2,80.8,114.5,95.6,99.4,114.3,94.3,80.2,128.8,98.9,90.6
平成26,2014,6,June,104.1,92.3,117.9,152.2,79.7,117.6,95.1,100.4,112.6,94.3,80.3,129.3,98.9,89.4
平成26,2014,7,July,104.1,90.3,117.8,152.5,79.8,117,95.4,102.8,107.8,91.3,80.3,130,98.9,92.7
平成26,2014,8,Aug.,104.7,90.3,117.8,155.1,79.8,119.3,95.5,99.2,117.9,92.4,80.3,130.2,98.9,93.2
平成26,2014,9,Sept.,104.9,84.1,118.9,157.3,80,120.3,95,98.6,108.9,90.6,80.7,130.9,98.9,93
平成26,2014,10,Oct.,105.2,88.7,120,158.3,79.6,121.9,95.1,98.5,114,85.4,80.6,130.8,98.9,91.3
平成26,2014,11,Nov.,105.7,89.7,119.6,158.3,79.4,124.7,95.1,98.4,122,88.5,80.6,131.1,98.9,92.8
平成26,2014,12,Dec.,105.9,91.7,120.5,158.5,79.7,122.5,95.7,98.6,121.2,89.2,80.5,131.3,98.9,94.2
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,
12-4  第３次産業活動指数 (平成22～26年) 12-4  INDICES OF TERTIARY INDUSTRY ACTIVITY ( 2010-2014 ),,,,,,,,,,,,,,,,,
(1) ウェイト………平成17年の粗付加価値額,,,,,,,,,,,,,,,,,
(2) 算式………固定ウェイトによる加重算術平均式 ,,,,,,,,,,,,,,,,,
(1) Weight  ……… Gross value added in 2005,,,,,,,,,,,,,,,,,
(2) Formula……… A weighted arithmetic mean formula based on weights fixed in the base period,,,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済指数である。 ,,,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。 ,,,,,,,,,,,,,,,,,
3) 指数値は，最新のデータ入手に伴い遡及して変更されることがある。 ,,,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted indices.,,,,,,,,,,,,,,,,,
2) Yearly figures are the averages of original monthly indices.,,,,,,,,,,,,,,,,,
3) Indices may be retroactively revised  to reflect the latest available data.,,,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「東京都第３次産業活動指数」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,
（平成 17年平均＝100） ( 2005  Average=100 ),,,,,,,,,,,,,,,,,
