地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,12780,279770,132850785,449767856,785182395,319277746,834,52,530,80,293,522,2403,236,17,681,225,320,214,137,144,1678,416,1137,607,346,709,171,317,711,30730,1452,5467,798,3762,6900,51373,11141,354,8130,3351,4145,4014,2861,2619,19350,9363,17052,14047,8946,22871,15450,24808,10786,69468288,12690095,6225944,1566861,8205053,13565346,101413251,38695212,2604707,12041801,5777597,7936165,15374024,15332078,8136090,27229169,28059791,31764253,31765918,26640807,59591064,83295471,147341459,30461951
1,13100,,区部,All ku,9963,158577,68922699,165819271,320321284,146783381,575,22,465,63,237,475,2196,179,9,532,216,317,142,116,105,1382,313,811,408,128,424,71,186,591,14099,580,4493,664,2198,5829,45826,7464,234,5827,2678,4125,2630,2299,1503,15204,4394,10494,8078,1954,6528,1828,2669,6979,29370280,2102751,5173304,1440162,3272049,11527962,90098262,26298530,1475460,8052277,3339625,7925282,10036942,11539860,4957283,21785800,8300397,17163819,20238554,3183467,11093967,4153535,5007802,12783914
2,13101,1,千代田区,Chiyoda-ku,115,2240,1051980,1992934,4540430,2430030,1,-,4,-,-,7,92,-,-,-,1,-,-,-,-,1,-,1,-,3,1,-,-,4,5,-,19,-,-,57,2058,-,-,-,8,-,-,-,-,10,-,5,-,23,7,-,-,48,x,-,19732,-,-,140686,4236782,-,-,-,x,-,-,-,-,x,-,x,-,19198,x,-,-,80252
2,13102,2,中央区,Chuo-ku,184,2654,1205219,2802963,5430641,2508037,23,-,8,1,1,8,119,1,-,1,1,1,1,-,-,2,1,2,1,1,-,2,-,10,349,-,75,6,5,58,1850,4,-,22,7,19,23,-,-,32,6,10,27,12,-,75,-,74,408213,-,114096,x,x,64052,3766274,x,-,x,x,x,x,-,-,x,x,x,x,x,-,x,-,167834
2,13103,3,港区,Minato-ku,136,2180,1252816,2211484,5163787,2832170,14,2,5,-,6,1,70,1,-,3,-,-,4,1,-,4,7,6,2,-,4,2,1,3,237,12,47,-,35,8,1440,51,-,34,-,-,62,4,-,19,96,60,13,-,36,8,5,13,300224,x,52822,-,37021,x,2959757,x,-,43471,-,-,954100,x,-,12794,210230,263692,x,-,61952,x,x,90614
2,13104,4,新宿区,Shinjuku-ku,326,9170,4720858,12851443,21765745,8531201,16,2,16,1,4,20,229,1,-,2,-,1,-,-,1,4,-,3,8,4,3,2,-,9,269,36,138,15,16,237,7863,4,-,47,-,4,-,-,11,43,-,35,225,25,31,96,-,75,319525,x,104862,x,11307,447577,19767972,x,-,x,-,x,-,-,x,18790,-,55399,472491,19223,71011,x,-,124979
2,13105,5,文京区,Bunkyo-ku,325,6315,2922997,5640131,11406255,5502107,8,-,13,3,4,8,221,4,-,4,-,2,3,1,-,2,1,1,23,1,5,1,1,19,92,-,143,28,18,60,5086,42,-,25,-,77,42,4,-,9,32,5,416,7,59,7,6,157,106906,-,146949,30066,13924,50195,9276168,71203,-,18370,-,x,126558,x,-,x,x,x,842845,x,112596,x,x,179818
2,13106,6,台東区,Taito-ku,485,4635,1624284,4271429,7630173,3201153,32,-,38,4,14,41,96,4,-,11,10,90,3,-,2,37,2,8,7,-,5,1,3,77,425,-,316,32,137,327,968,43,-,95,101,912,19,-,19,252,10,72,76,-,34,20,19,758,469855,-,387129,24694,240427,481182,1375792,77938,-,92213,120701,2094889,14329,-,x,236002,x,88467,179721,-,41198,x,12175,1541563
2,13107,7,墨田区,Sumida-ku,860,12449,5691938,9819248,27840320,16294545,37,5,75,7,14,54,156,20,1,46,52,66,10,12,9,147,14,39,10,3,9,1,11,62,560,316,646,52,84,485,2388,2390,17,562,540,855,365,257,58,1297,171,577,59,32,108,8,104,518,1012649,1631831,1163241,60678,124986,571321,3189101,11509932,x,677466,638492,1629862,470078,1011369,139735,1661531,388468,671435,74742,x,155136,x,143448,751664
2,13108,8,江東区,Koto-ku,589,10866,4751253,15059174,27772835,12136865,52,1,23,26,16,37,204,8,3,24,7,3,28,14,6,61,10,21,8,1,9,2,9,16,2085,7,239,368,185,434,3940,539,72,291,60,81,438,259,153,653,143,230,163,39,135,28,153,171,5119798,x,229980,1110029,415496,708887,7844643,2690181,x,602816,80979,187224,2052167,1730058,654289,1397558,298925,406124,343198,x,307982,x,538383,290424
2,13109,9,品川区,Shinagawa-ku,418,5879,2545516,4223087,8899314,4464673,18,1,5,-,4,8,65,7,-,34,4,1,7,2,5,53,24,70,20,12,48,1,12,17,203,7,51,-,32,79,755,325,-,407,49,8,109,16,48,567,429,1053,334,165,714,7,376,145,172036,x,29350,-,47244,79474,979000,668690,-,538514,66790,x,404616,x,80170,659800,846932,1528866,537247,248041,1196078,x,496517,278395
2,13110,10,目黒区,Meguro-ku,147,2697,1274392,2826772,5227333,2293590,16,-,2,-,3,2,12,6,-,9,-,-,1,1,3,22,9,11,9,11,15,2,3,10,441,-,8,-,33,9,242,73,-,69,-,-,23,17,65,254,139,259,223,256,267,10,37,272,663774,-,x,-,54528,x,391172,187003,-,51521,-,-,x,x,143126,501960,247325,485658,299439,602317,526630,x,36513,782555
