品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,23252466,,11004199,,12248267
食料品及び動物,Foodstuffs and animals,,,,,,,,,,1661304,,1536490,,124814
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,,1，000t,,919,470768,919,470768,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,675,599026,637,543814,38,55212
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,,1，000t,,1459,292137,1410,255581,49,36555
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,405136,,386238,,18898
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,297,128873,297,128873,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,238447,,238447,-,-
食料に適さない原材料,No beverage raw material,,,,,,,,,,300708,,229606,,71102
鉱物性燃料,Mineral fuels,,,,,,,,,,13079,,10517,,2562
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,111,29202,110,27453,1,1749
化学製品,Chemical products,,,,,,,,,,2731305,,1001921,,1729384
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,608624,,218870,,389754
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,468768,,123692,,345076
化学製品,Chemical products,医薬品,Medical products,,,,,1，000t,,38,1270750,30,174666,8,1096084
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,917,298374,906,255713,11,42661
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1754974,,1065114,,689860
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,,1，000t,,949,140454,949,140454,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,,,,213498,,184179,,29319
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,274423,,111886,,162537
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,83,514400,79,141543,4,372857
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,349334,,262423,,86912
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,10922590,,3913685,,7008905
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,3615932,,1570911,,2045021
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,2057748,,901951,,1155797
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers (including peripheral devices)),100万台,1mil.units,70,1678595,38,648641,32,1029954
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,,,,,,,,6497382,,2117714,,4379668
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,重電機器,Heavy electrical power machinery,,,,,,273413,,168898,,104515
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,音響・映像機器（含部品）,Audio／visual apparatuses (including parts),,,,,,674378,,410761,,263616
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,通信機,Communication instruments,,,,,,1946685,,249393,,1697293
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,家庭用電気機器,Domestic electrical equipment,,,,,,212332,,212332,,-
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,,1730355,,503502,,1226852
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. units,1216,1360614,203,268675,1013,1091939
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,電気計測機器,Electrical measuring and instruments,,,,,,434943,,100761,,334181
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,,,,809275,,225060,,584215
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,144,177147,130,123619,15,53528
雑製品,Miscellaneous manufactured goods,,,,,,,,,,4808940,,2722831,,2086109
雑製品,Miscellaneous manufactured goods,バッグ類,Bags,,,,,1，000t,,76,344446,68,166608,8,177838
雑製品,Miscellaneous manufactured goods,衣類及び同付属品,Clothing and accessories,,,,,,,,1179635,,860436,,319199
雑製品,Miscellaneous manufactured goods,はき物,Footwear,,,,,1，000t,,140,336698,133,272413,7,64285
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,,,,1406778,,368690,,1038089
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,1115857,,332600,,783257
雑製品,Miscellaneous manufactured goods,プラスチック製品,Plastics products,,,,,1，000t,,484,280016,476,236989,8,43028
雑製品,Miscellaneous manufactured goods,がん具及び遊戯用具,Toy and indoor games,,,,,1，000t,,88,219279,88,219279,-,-
特殊取扱品,Special commodities,,,,,,,,,,625229,,110346,,514883
特殊取扱品,Special commodities,再輸入品,Re-import goods,,,,,,,,538684,,106880,,431804
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (2)輸入 (平成26年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (2) IMPORTS ( 2014 ),,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡金額 (F.O.B.)，輸入は到着金額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,,,,,,,
"This table has been prepared in reference to import／export declarations， reshipment declarations， notifications of the seaports／airports of entry／departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports／exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import／export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
