年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成24,2012,0,13000,総数,Tokyo-to,,,,23317,19011,20380,3372,6925,8159,1080,844,80,71720,24963,6728,3483,589,25125,8973,1859,48127,289769,188885
平成25,2013,0,13000,総数,Tokyo-to,,,,23157,18933,20007,3464,6847,7568,1200,928,183,71507,24571,6784,3516,567,24797,9163,2109,48496,289032,188167
平成26,2014,0,13000,総数,Tokyo-to,,,,22500,18247,19416,3330,6781,7192,1160,953,78,69903,23893,6856,3469,575,23926,9299,1885,46306,283628,183108
平成26,2014,1,13100,区部,All ku,,,,15277,12283,13103,2278,4522,4779,803,721,67,49001,16452,5653,2255,521,16232,6642,1246,31757,200602,126397
平成26,2014,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,67,56,89,8,20,49,8,4,-,271,99,34,4,4,80,31,19,200,1137,815
平成26,2014,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,125,112,147,11,38,88,6,4,-,441,162,37,-,46,149,42,5,328,1762,1302
平成26,2014,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,149,120,129,27,30,61,4,7,-,427,184,48,-,1,133,50,11,285,1846,1194
平成26,2014,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,128,105,118,19,38,55,3,3,-,385,126,29,36,4,142,42,6,276,1595,1110
平成26,2014,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,191,164,194,24,45,112,5,8,-,556,219,42,9,1,216,51,18,419,2233,1649
平成26,2014,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,132,103,116,23,26,43,11,13,-,670,92,76,92,4,148,116,142,394,2972,1708
平成26,2014,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,304,262,305,45,101,151,6,2,-,893,324,87,45,1,336,91,9,634,3754,2593
平成26,2014,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,146,113,125,20,42,51,10,2,-,418,163,47,-,1,153,53,1,268,1731,1090
平成26,2014,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,100,83,94,14,25,40,12,3,-,313,117,33,-,17,104,42,-,211,1281,864
平成26,2014,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,99,84,93,12,33,37,6,5,-,355,85,38,37,32,110,47,6,238,1457,960
平成26,2014,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,219,171,175,29,74,56,9,7,4,783,362,73,17,4,230,89,8,413,3209,1635
平成26,2014,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,226,197,209,27,73,91,11,7,-,691,265,62,15,18,243,82,6,517,2843,2035
平成26,2014,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,237,209,208,48,89,52,9,10,-,624,262,53,-,-,245,63,1,451,2558,1789
平成26,2014,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,369,307,314,58,119,112,9,16,14,1034,327,102,93,1,383,118,10,715,4254,2782
平成26,2014,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,290,219,231,36,100,73,11,11,-,932,282,96,122,-,302,116,14,525,3743,2012
平成26,2014,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,282,229,255,39,90,107,7,12,4,945,356,108,11,4,308,126,32,627,3986,2570
平成26,2014,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,181,146,146,15,62,45,12,12,-,574,173,66,43,5,188,83,16,383,2378,1510
平成26,2014,2,13110,目黒区,Meguro-ku,18,目黒署,Meguro F. Sta.,327,282,267,55,106,75,17,14,2,987,382,115,15,5,331,134,5,673,4090,2733
平成26,2014,2,13112,世田谷区,Setagaya-ku,19,世田谷署,Setagaya F. Sta.,513,390,429,67,150,157,32,23,1,1597,533,199,66,4,550,217,28,977,6360,3724
平成26,2014,2,13112,世田谷区,Setagaya-ku,20,玉川署,Tamagawa F. Sta.,354,292,308,41,130,109,18,10,-,1113,477,102,7,7,380,124,16,706,4380,2662
