学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,63547,29367,34180,…,…,…,8588,…,…
小学校,Elementary schools,39633,31038,11439,19599,4363,1235,3128,4232,1830,2402
中学校,Junior high schools,21222,15177,8484,6693,4411,1926,2485,1634,767,867
高等学校,Senior high schools,13907,9427,6143,3284,2993,1577,1416,1487,814,673
中等教育学校,Secondary education schools,575,408,269,139,128,61,67,39,21,18
大学,Colleges and universities,…,723,604,119,…,…,…,334,172,162
高等専門学校,Colleges of technology,…,131,119,12,…,…,…,41,…,…
特別支援学校,Special needs schools,6783,5600,2254,3346,494,169,325,689,311,378
幼稚園,Kindergartens,1163,841,23,818,274,59,215,48,14,34
高等学校（通信制）,Senior high schools (Correspondence course),89,45,29,16,40,22,18,4,2,2
専修学校,Specialized training schools,923,157,3,154,686,338,348,80,17,63
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成26年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2014 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本調査報告」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,
