年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成26,2014,2,13105,5,文京区,Bunkyo-ku,3532,33,65,2769,2,88,128,30,141,75,201,38,325,607,235,234,622,319,500,171
平成26,2014,2,13106,6,台東区,Taito-ku,7722,200,382,5383,5,202,239,41,208,214,848,104,428,617,379,377,802,633,1097,260
平成26,2014,2,13107,7,墨田区,Sumida-ku,4749,35,453,3105,8,117,152,43,184,203,449,57,254,585,370,344,684,1268,1132,533
平成26,2014,2,13108,8,江東区,Koto-ku,5815,20,32,4333,1,138,166,74,277,232,542,82,1124,1181,568,574,1146,559,877,400
平成26,2014,2,13109,9,品川区,Shinagawa-ku,6065,60,296,4221,4,187,191,53,179,464,410,43,985,944,466,439,848,533,450,440
平成26,2014,2,13110,10,目黒区,Meguro-ku,3872,8,88,2891,-,110,106,52,119,225,273,58,232,476,250,233,485,132,386,104
平成26,2014,2,13111,11,大田区,Ota-ku,7812,53,219,5417,1,193,236,86,393,374,840,72,988,1520,734,799,1565,631,987,745
平成26,2014,2,13112,12,世田谷区,Setagaya-ku,8128,5,39,6252,1,201,233,111,357,378,551,110,487,1251,725,710,1359,1160,2077,633
平成26,2014,2,13113,13,渋谷区,Shibuya-ku,9504,90,650,7544,-,160,182,44,201,179,454,190,1040,929,431,417,963,343,1095,290
平成26,2014,2,13114,14,中野区,Nakano-ku,3712,3,132,2911,1,127,120,28,119,109,162,31,245,492,289,279,467,351,708,307
平成26,2014,2,13115,15,杉並区,Suginami-ku,5531,10,89,4277,-,129,167,53,228,260,318,61,263,723,453,417,782,713,751,389
平成26,2014,2,13116,16,豊島区,Toshima-ku,6887,96,433,5190,1,158,192,49,247,248,273,88,525,809,449,421,891,299,761,314
平成26,2014,2,13117,17,北区,Kita-ku,4096,12,112,3098,-,94,114,44,187,226,209,24,332,615,327,301,599,557,641,396
平成26,2014,2,13118,18,荒川区,Arakawa-ku,2433,15,21,1725,3,72,98,33,130,256,80,17,195,388,217,213,360,396,511,242
平成26,2014,2,13119,19,板橋区,Itabashi-ku,4932,5,59,3627,1,116,168,76,257,254,369,34,584,952,522,502,932,758,876,173
平成26,2014,2,13120,20,練馬区,Nerima-ku,4718,4,161,3241,-,126,181,93,278,259,375,59,336,881,574,550,869,596,808,460
平成26,2014,2,13121,21,足立区,Adachi-ku,6425,34,17,4458,-,168,226,73,343,672,434,41,513,1143,688,708,1273,885,1244,214
平成26,2014,2,13122,22,葛飾区,Katsushika-ku,4797,13,141,3215,-,117,198,54,251,511,297,31,269,720,442,418,721,994,757,502
平成26,2014,2,13123,23,江戸川区,Edogawa-ku,6083,33,267,4200,-,162,153,41,310,240,677,37,337,974,636,633,1004,780,985,481
平成26,2014,1,13200,,市部,All shi,33348,252,996,22803,1,888,994,396,1605,1569,3844,462,4044,6806,3416,3347,6538,6766,7246,5199
平成26,2014,2,13201,1,八王子市,Hachioji-shi,4911,47,226,3270,1,134,117,38,180,147,751,59,639,986,481,492,953,851,1020,677
平成26,2014,2,13202,2,立川市,Tachikawa-shi,2467,31,148,1646,-,39,59,15,102,99,328,25,297,380,201,194,358,370,576,348
平成26,2014,2,13203,3,武蔵野市,Musashino-shi,2422,8,126,1781,-,59,49,20,95,119,165,48,219,314,150,149,352,475,512,225
平成26,2014,2,13204,4,三鷹市,Mitaka-shi,1078,2,17,742,-,47,44,20,51,47,108,20,147,279,144,135,264,317,334,151
平成26,2014,2,13205,5,青梅市,Ome-shi,1513,46,11,739,-,41,46,16,40,72,502,21,169,269,128,128,306,140,203,60
平成26,2014,2,13206,6,府中市,Fuchu-shi,2192,18,56,1392,-,49,68,28,81,99,401,26,399,545,213,236,478,450,412,381
平成26,2014,2,13207,7,昭島市,Akishima-shi,939,10,12,688,-,34,27,16,47,42,63,13,180,209,98,110,205,184,268,175
平成26,2014,2,13208,8,調布市,Chofu-shi,1708,4,30,1270,-,53,65,16,93,61,116,27,174,326,195,180,351,474,236,311
平成26,2014,2,13209,9,町田市,Machida-shi,2981,21,120,1950,-,69,84,27,173,195,342,36,293,709,341,331,624,626,866,663
平成26,2014,2,13210,10,小金井市,Koganei-shi,774,2,8,576,-,23,25,13,32,41,54,17,68,145,93,85,174,214,206,191
平成26,2014,2,13211,11,小平市,Kodaira-shi,1177,3,4,783,-,35,43,16,76,68,149,13,166,322,144,139,260,310,181,450
平成26,2014,2,13212,12,日野市,Hino-shi,1053,1,5,666,-,24,38,19,70,41,189,9,176,243,114,119,228,176,195,92
平成26,2014,2,13213,13,東村山市,Higashimurayama-shi,1105,10,25,781,-,39,41,11,62,54,82,10,90,206,107,107,191,136,179,113
平成26,2014,2,13214,14,国分寺市,Kokubunji-shi,1030,4,30,790,-,25,29,9,46,35,62,15,66,167,83,75,153,189,102,162
平成26,2014,2,13215,15,国立市,Kunitachi-shi,620,5,3,471,-,11,22,8,31,36,33,12,64,119,68,62,107,107,157,107
平成26,2014,2,13218,16,福生市,Fussa-shi,835,2,51,678,-,20,14,4,24,22,20,4,42,94,57,52,89,84,152,42
平成26,2014,2,13219,17,狛江市,Komae-shi,438,1,4,301,-,15,17,17,23,30,30,4,36,91,59,51,83,250,108,131
平成26,2014,2,13220,18,東大和市,Higashiyamato-shi,592,6,14,401,-,14,27,8,49,43,30,8,52,126,71,63,116,80,109,46
平成26,2014,2,13221,19,清瀬市,Kiyose-shi,467,-,6,319,-,13,14,11,29,31,44,6,49,129,59,55,115,73,90,54
平成26,2014,2,13222,20,東久留米市,Higashikurume-shi,626,-,2,396,-,30,25,11,52,52,58,9,95,172,100,106,188,117,150,98
平成26,2014,2,13223,21,武蔵村山市,Musashimurayama-shi,458,3,1,321,-,15,23,15,29,29,22,8,75,124,74,70,123,73,104,71
平成26,2014,2,13224,22,多摩市,Tama-shi,1002,10,25,709,-,22,24,15,58,58,81,25,168,240,107,103,232,169,187,88
平成26,2014,2,13225,23,稲城市,Inagi-shi,383,-,1,271,-,6,17,8,29,22,29,15,55,112,57,55,101,61,70,32
平成26,2014,2,13227,24,羽村市,Hamura-shi,689,1,41,523,-,19,14,7,25,26,33,6,140,121,66,62,104,75,139,40
平成26,2014,2,13228,25,あきる野市,Akiruno-shi,528,14,-,365,-,18,23,11,33,37,27,11,72,129,68,59,134,111,142,28
平成26,2014,2,13229,26,西東京市,Nishitokyo-shi,1360,3,30,974,-,34,39,17,75,63,125,15,113,249,138,129,249,654,548,463
平成26,2014,1,13300,,郡部,All gun,554,43,1,367,-,12,22,9,18,35,47,8,83,153,79,69,196,221,367,71
平成26,2014,1,13500,,島部,All islands,1167,444,11,504,-,20,15,4,56,56,57,15,1,145,95,118,194,171,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成22～平成26年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2010-2014 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
