地域階層,地域コード,地域,District,総数 Total／所有者数 Number of owners,総数 Total／面積 Area,個人 Individual／所有者数 Number of owners,個人 Individual／面積 Area,法人 Companies／所有者数 Number of owners,法人 Companies／面積 Area
0,13100,区部,All ku,1249180,302172,1164033,212836,85147,89336
1,13101,千代田区,Chiyoda-ku,8891,3615,5488,660,3403,2955
1,13102,中央区,Chuo-ku,13095,3300,8707,783,4388,2517
1,13103,港区,Minato-ku,18919,8142,13971,2055,4948,6087
1,13104,新宿区,Shinjuku-ku,38213,8688,33301,5011,4912,3677
1,13105,文京区,Bunkyo-ku,28494,5118,25876,3385,2618,1733
1,13106,台東区,Taito-ku,27261,4377,23072,2542,4189,1835
1,13107,墨田区,Sumida-ku,32253,6350,29236,4036,3017,2313
1,13108,江東区,Koto-ku,33499,13355,29688,4045,3811,9310
1,13109,品川区,Shinagawa-ku,44760,12151,41397,6005,3363,6146
1,13110,目黒区,Meguro-ku,38462,8288,35888,6300,2574,1988
1,13111,大田区,Ota-ku,93141,23454,87188,16099,5953,7355
1,13112,世田谷区,Setagaya-ku,133084,33425,127345,26905,5739,6520
1,13113,渋谷区,Shibuya-ku,28545,7179,24434,4051,4111,3128
1,13114,中野区,Nakano-ku,50058,9507,47296,7695,2762,1812
1,13115,杉並区,Suginami-ku,94562,20947,90712,17888,3850,3059
1,13116,豊島区,Toshima-ku,38289,7472,35210,5425,3079,2047
1,13117,北区,Kita-ku,41661,9674,39408,6104,2253,3570
1,13118,荒川区,Arakawa-ku,25512,5307,23773,3583,1739,1724
1,13119,板橋区,Itabashi-ku,66105,16423,62623,11990,3482,4432
1,13120,練馬区,Nerima-ku,121822,29329,118208,26009,3614,3321
1,13121,足立区,Adachi-ku,102449,27046,98175,21234,4274,5812
1,13122,葛飾区,Katsushika-ku,72493,16403,69478,13164,3015,3239
1,13123,江戸川区,Edogawa-ku,97612,22622,93559,17867,4053,4755
0,13200,市部,All shi,885351,429481,858043,328533,27308,100948
1,13201,八王子市,Hachioji-shi,121152,91084,117375,63809,3777,27275
1,13202,立川市,Tachikawa-shi,30222,13894,29079,10477,1143,3417
1,13203,武蔵野市,Musashino-shi,22423,6788,21479,5450,944,1338
1,13204,三鷹市,Mitaka-shi,31777,10410,30823,8791,954,1619
1,13205,青梅市,Ome-shi,35825,60382,34706,41881,1119,18502
1,13206,府中市,Fuchu-shi,42063,15112,40884,11188,1179,3924
1,13207,昭島市,Akishima-shi,20670,9124,19912,5898,758,3226
1,13208,調布市,Chofu-shi,36832,12067,35646,9937,1186,2129
1,13209,町田市,Machida-shi,99424,42071,96802,34713,2622,7359
1,13210,小金井市,Koganei-shi,23118,6661,22472,5814,646,847
1,13211,小平市,Kodaira-shi,47189,13214,45683,10464,1506,2750
1,13212,日野市,Hino-shi,46261,14521,44759,11235,1502,3286
1,13213,東村山市,Higashimurayama-shi,32400,9957,31667,8668,733,1289
1,13214,国分寺市,Kokubunji-shi,26564,8075,25734,6836,830,1240
1,13215,国立市,Kunitachi-shi,12550,4809,12002,3999,548,810
1,13218,福生市,Fussa-shi,10656,3889,10306,3291,350,597
1,13219,狛江市,Komae-shi,14507,3932,14158,3530,349,402
1,13220,東大和市,Higashiyamato-shi,17819,6071,17396,5288,423,782
1,13221,清瀬市,Kiyose-shi,13496,5933,13229,5164,267,769
1,13222,東久留米市,Higashikurume-shi,32047,8492,31393,7237,654,1256
1,13223,武蔵村山市,Musashimurayama-shi,18844,8944,18295,7321,549,1624
1,13224,多摩市,Tama-shi,39099,10180,38360,6729,739,3451
1,13225,稲城市,Inagi-shi,13563,9345,13137,6001,426,3344
1,13227,羽村市,Hamura-shi,12636,6103,12288,4219,348,1884
1,13228,あきる野市,Akiruno-shi,27157,37907,26517,31471,640,6436
1,13229,西東京市,Nishitokyo-shi,57057,10515,53941,9121,3116,1394
,,,,,,,,,
東京都統計年鑑 （平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,
1-4  区市別，所有者別土地所有状況（全地目）（平成26年）1-4  LAND OWNERSHIP BY MUNICIPALITY AND OWNER ( ALL LAND CLASSIFICATION ）( 2014 ),,,,,,,,,
注1) 課税資料（平成26年1月1日)より作成。,,,,,,,,,
2) 面積は評価総地積(免税点未満を含む)。,,,,,,,,,
3) 区部は区分所有に係る土地を除く。,,,,,,,,,
4) 端数処理のため，各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,
Note:1) Material prepared from taxation data (Jan. 1， 2014).,,,,,,,,,
2) Total appraised area (including land under the tax exemption limit).,,,,,,,,,
3) Ku area excludes land coming under condominium unit ownership.,,,,,,,,,
4) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,
資料：都都市整備局都市づくり政策部広域調整課 「東京の土地(土地関係資料集)」 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:区部・市部　1:区市町村）,,,,,,,,,
（単位　面積　千m2）(Area in 1，000 m2),,,,,,,,,
