年次,Year,総数 Total／隻数 Number,総数 Total／総トン数 GT,外航船 Seagoing ships／計 Total／隻数 Number,外航船 Seagoing ships／計 Total／総トン数 GT,外航船 Seagoing ships／外国船 Foreign ships／隻数 Number,外航船 Seagoing ships／外国船 Foreign ships／総トン数 GT,外航船 Seagoing ships／日本船 Japanese ships／隻数 Number,外航船 Seagoing ships／日本船 Japanese ships／総トン数 GT,内航船 Coasters／隻数 Number,内航船 Coasters／総トン数 GT
平成22,2010,26411,163951676,6128,127905291,6120,127406409,8,498882,20283,36046385
平成23,2011,26358,167762720,6157,129045754,6147,128504304,10,541450,20201,38716966
平成24,2012,25743,164032393,5956,125376413,5948,124877291,8,499122,19787,38655980
平成25,2013,26095,165370385,5731,125343709,5722,125295282,9,48427,20364,40026676
平成26,2014,25259,159380433,5343,118862181,5337,118793130,6,69051,19916,40518252
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-19  入港船舶隻数及び総トン数 （平成22～26年）（東京港） 4-19 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2010-2014 )( Port of Tokyo ),,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,
