項目階層,項番 Item number,項目,Item,平成24年度 Fiscal year 2012／実数 Value,平成24年度 Fiscal year 2012／構成比 Percentage Distribution (%),平成24年度 Fiscal year 2012／対前年度増加率 Percent changes from previous fiscal year (%),平成25年度 Fiscal year 2013／実数 Value,平成25年度 Fiscal year 2013／構成比 Percentage Distribution (%),平成25年度 Fiscal year 2013／対前年度増加率 Percent changes from previous fiscal year (%)
0,1,産業,Industries,84383.8,91.5,-0.9,85379.3,91.7,1.2
1,,農林水産業,Agriculture， forestry and fishing,48.9,0.1,5,48.5,0.1,-0.9
1,,鉱業,Mining,21.1,0,-8.4,21.3,0,1.1
1,,製造業,Manufacturing,6490,7,-2.5,6436.9,6.9,-0.8
1,,建設業,Construction,3915.8,4.2,-6.3,4003.6,4.3,2.2
1,,電気・ガス・水道業,Electricity， gas and water supply ,1003.5,1.1,-0.3,1057.4,1.1,5.4
1,,卸売・小売業,Wholesale and retail trade,19397.9,21,-1.5,19224.5,20.6,-0.9
1,,金融・保険業,Finance and insurance,8736.9,9.5,3.5,8935.3,9.6,2.3
1,,不動産業,Real estate,11989.3,13,0.5,12091.5,13,0.9
1,,運輸業,Transport,3662.5,4,-0.1,3709.7,4,1.3
1,,情報通信業,Information and communications,10432.9,11.3,-1.8,10715.1,11.5,2.7
1,,サービス業,service activities,18685.1,20.3,-1,19135.5,20.5,2.4
0,2,政府サービス生産者,Producers of government services,6185.2,6.7,-2.6,6140.9,6.6,-0.7
1,,電気・ガス・水道業,Electricity， gas and water supply ,302.3,0.3,-1.7,299.7,0.3,-0.9
1,,サービス業,Service activities,942.2,1,-1.7,925.3,1,-1.8
,,公務,Public administration,4940.7,5.4,-2.8,4915.9,5.3,-0.5
0,3,対家計民間非営利サービス生産者,Producers of private non-profit servicesv to households ,1567.7,1.7,2.4,1545.9,1.7,-1.4
1,,サービス業,Service activities,1567.7,1.7,2.4,1545.9,1.7,-1.4
0,4,小計 (1+2+3),Sub-total ,92136.7,99.9,-0.9,93066.1,99.9,1
0,5,輸入品に課される税・関税,Taxes and duties on imports,427.6,0.5,1,435,0.5,1.7
1,6,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,351.9,0.4,3.5,372.9,0.4,6
0,7,都内総生産 (4+5-6),Gross prefectural domestic product (4+5-6),92212.4,100,-0.9,93128.3,100,1
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成24，25年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2012 and 2013),,,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,,
項目階層（0:大項目　1:項目）,,,,,,,,,
