年次及び種類,Year and kind,月次,Month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／印刷業 Printing,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products,電気・ガス事業 Electricity and Gas,産業総合（製造工業、電気・ガス事業） Industries(Manufacturing，Electricity and Gas)
品目数,Items,,,176,13,8,7,25,7,12,6,8,22,16,11,11,12,4,3,5,9,3,19,3,3,2,4,7,2,178
ウェイト,Weight,,,10000,135,109.2,319,1376.9,279,620.7,477.2,483,1314.4,692.9,1383.2,166,882.2,182.6,77.4,115.3,713.8,1380.9,668.2,236.9,79.2,128.2,28.1,195.8,157.8,10157.8
平成22,2010,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,,,96.6,95.5,86,99,104.2,107.7,109.8,95.1,86.9,95.2,82.1,99.8,105.6,99.3,88.1,102.1,105.1,97.7,97.8,90.2,74.9,88.6,87.1,103.2,109.5,110,96.8
平成24,2012,,,99.9,93.3,76.6,97.4,92.1,109.9,87.6,87.5,86.4,88.6,98.5,126.4,104.1,107,103.2,95.2,106.9,107.1,100.2,80.6,57.9,75.2,81.3,107.9,105.8,135.4,100.4
平成25,2013,,,102.2,92.5,70.7,107.2,79,112.2,76.9,62.1,91.8,98.7,123.7,136.7,95.9,122.7,98.2,92.2,94.8,104.6,92.7,71,39.6,70.4,90.5,116.7,89.8,119,102.5
平成26,2014,,,103.9,92.6,71.6,95.7,91.1,121.9,90.4,74,87.2,96.4,131.2,140.8,96.6,126.4,104.6,91.3,99.3,103,88.5,70.3,36.5,61.6,94.4,103.4,94.1,101,103.8
平成26,2014,1,Jan.,107.3,98.4,72.8,95.7,92,126.2,92.1,74.8,102,95.4,147.4,137.1,99.9,136.9,108.6,92.4,103.9,105.9,89.9,73.4,35.7,69,105.5,111.2,96.2,112.6,107.4
平成26,2014,2,Feb.,105.1,95.5,70.2,107.3,95.9,117.7,109.6,75.4,89.2,100.7,148,133.9,89.8,119,103.7,93.7,86.9,95,90.7,64.9,34.6,67.7,82.6,105.7,81.7,115.1,105
平成26,2014,3,Mar.,107.3,94.7,70.7,107.8,89.6,120.2,85.1,80.4,93.9,98.4,143.4,141,95.9,132.9,108.7,91.2,101.5,103.2,90.9,79,37.1,66.9,104.9,122.4,80.7,108,107.4
