年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成24,2012,総数,Total,337322,83037593,96058885
平成25,2013,総数,Total,375081,84445625,110152208
平成26,2014,総数,Total,378172,87254000,122205524
平成26,2014,牛,Cattle,151265,68661230,112145070
平成26,2014,豚,Pig,226742,18546703,9868771
平成26,2014,馬,Horse,-,-,-
平成26,2014,こ牛,Calf,165,13561,5962
平成26,2014,山羊・緬羊,Goat and sheep,-,-,-
平成26,2014,その他,Others,…,32506,185720
,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成24～26年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2012-2014 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
