区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,37894,14531,8576,8354,6433
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,23886,10964,4051,8327,544
2,知事本局,Headquarters of the Governor of Tokyo ,132,129,3,-,-
2,総務局,Bureau of General Affairs,2641,2428,173,1,39
2,財務局,Bureau of Finance,414,254,155,-,5
2,主税局,Bureau of Taxation,2961,2960,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,392,324,65,-,3
2,オリンピック・パラリンピック準備局,Bureau of Tokyo 2020 Olympic and Paralympic Games Preparation,148,113,35,-,-
2,都市整備局,Bureau of Urban Development          ,1134,477,657,-,-
2,環境局,Bureau of Environment,473,232,236,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4103,1493,463,2067,80
2,産業労働局,Bureau of Industrial and Labor Affairs ,1210,690,480,9,31
2,建設局,Bureau of Construction,2231,805,1388,-,38
2,港湾局,Bureau of Port and Harbor,580,244,287,-,49
2,会計管理局,Bureau of Accounting,106,106,-,-,-
2,青少年・治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6662,387,5,6250,20
2,中央卸売市場,Central Wholesale Market,596,221,101,-,274
2,収用委員会,Secretariat to Expropriation Commission,21,20,1,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
2,公営企業体,Public Enterprises,13010,2667,4471,5,5867
2,交通局,Bureau of Transportation,6546,580,533,5,5428
1,水道局,Bureau of Waterworks,3933,1581,2020,-,332
2,下水道局,Bureau of Sewerage,2531,506,1918,-,107
2,行政委員会事務局,Executive Offices of Administrative Commission ,850,774,54,22,-
2,教育委員会,Board of Education ,668,618,28,22,-
1,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成26年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2014 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
