年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
平成24,2012,総数,Total,…,86447112
平成25,2013,総数,Total,…,86177982
平成26,2014,総数,Total,…,85487278
平成26,2014,切花（本）,Cut flowers (stems),907385196,57006748
平成26,2014,切葉（枚）,Cut leaves (pieces),73814092,2245466
平成26,2014,切枝（束）,Cut tree branches (bundles),28005810,4693358
平成26,2014,鉢物（鉢）,Potted flowers (pots),32749958,16099486
平成26,2014,苗物（箱）,Bedding plants (boxes),3222670,4810924
平成26,2014,その他花き（箱）,Others (boxes),748662,631296
,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成24～26年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2012-2014 ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
