観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1808,24.5,157.5,113.5,155,135.5,311,105.5,105,155.5,384.5,98.5,62
江戸川臨海,Edogawarinkai,1490.5,23,99,88,134,110,310,96,84.5,101.5,308.5,73,63
練馬,Nerima,1740,16,127.5,119,117.5,91.5,485.5,121.5,81,97,336.5,87.5,59.5
世田谷,Setagaya,1917.5,23,169.5,136,133.5,98,469.5,128.5,102.5,94,396.5,102,64.5
府中,Fuchu,1899.5,15.5,159.5,125.5,113,98,497,103,137.5,87,415,89,59.5
八王子,Hachioji,1797.5,13,126.5,115.5,94.5,82.5,473.5,114,143,114.5,376,83.5,61
小沢,Ozawa,1591,18.5,183,84.5,83,65,391.5,103,173,96.5,293,57.5,42.5
青梅,Ome,1785.5,10,193.5,67,70,87.5,599,87.5,151,83.5,324.5,71,41
小河内,Ogochi,1551.5,17.5,190.5,79.5,71,61.5,396,92.5,170.5,76.5,299.5,56,40.5
羽田,Haneda,1432.5,26,56,101,138.5,120.5,256,73,95.5,99.5,333,67,66.5
大島,Oshima,2615,89.5,289,198.5,291,238.5,444,92,114,83.5,454.5,128,192.5
新島,Niijima,1894.5,69.5,169,159,277,204.5,147,76,93,132,336,89.5,142
三宅島,Miyakejima,3188,152.5,338,240,256.5,249.5,219,182.5,227,301,523,313,186
八丈島,Hachijojima,2920.5,111,328.5,206.5,259.5,193,390,145,167.5,226,407,299.5,187
父島,Chichijima,1336,78.5,73.5,20,42,190,180,21,36.5,133,165.5,257,139
,,,,,,,,,,,,,,
東京都統計年鑑 （平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成26年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2014 ),,,,,,,,,,,,,,
注) 記号）: 準正常値 欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,
Note: A parenthesis following a figure indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
