地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,,
0,13000,,総数,Tokyo-to,3160166,390252,124733,257083,8436,2664688,1476630,1188058,15484,75990,13752,169497,681456,1495,259598,,
1,13100,,区部,All ku,1968180,283759,89627,186394,7738,1616031,966052,649979,9886,49392,9112,113355,296024,1183,196322,,
5,13101,1,千代田区,Chiyoda-ku,30590,4590,442,4144,4,25213,16852,8361,64,660,63,921,2827,157,17954,,
5,13102,2,中央区,Chuo-ku,40338,7012,966,5975,71,32016,21863,10153,76,957,277,1634,4031,120,14875,,
5,13103,3,港区,Minato-ku,73704,8499,1871,6257,371,63061,48119,14942,288,1262,594,3401,4927,176,24144,,
5,13104,4,新宿区,Shinjuku-ku,52696,6974,1164,5802,8,44142,27623,16519,171,1372,37,3751,7903,90,15859,,
5,13105,5,文京区,Bunkyo-ku,32597,4124,608,3515,1,28009,18228,9781,41,415,8,2081,4071,27,2945,,
5,13106,6,台東区,Taito-ku,34418,6995,851,6121,23,26698,15302,11396,49,630,46,1872,5987,43,4126,,
5,13107,7,墨田区,Sumida-ku,49044,9910,2340,7541,29,37549,20809,16740,151,1070,364,2816,8401,23,4434,,
5,13108,8,江東区,Koto-ku,110625,27005,11648,13532,1825,76107,44979,31128,683,5121,1709,5233,12774,102,29140,,
5,13109,9,品川区,Shinagawa-ku,70616,12088,3075,7250,1763,56210,34854,21356,494,1509,315,4583,8553,63,10125,,
5,13110,10,目黒区,Meguro-ku,53713,3877,918,2931,28,48717,33604,15113,236,823,60,3541,5292,21,1618,,
5,13111,11,大田区,Ota-ku,158710,28910,10040,16600,2270,123155,73416,49739,1174,4486,985,9741,20875,41,19385,,
5,13112,12,世田谷区,Setagaya-ku,196281,13977,4082,9875,20,177800,118047,59753,728,3403,373,13136,22256,29,4691,,
5,13113,13,渋谷区,Shibuya-ku,50634,4287,686,3585,16,45452,32567,12885,155,699,41,3362,4801,73,9314,,
5,13114,14,中野区,Nakano-ku,46821,4688,860,3821,7,41010,24226,16784,241,825,57,4322,7551,14,1526,,
5,13115,15,杉並区,Suginami-ku,97677,7809,2028,5774,7,87529,53012,34517,480,1742,117,6424,13599,8,759,,
5,13116,16,豊島区,Toshima-ku,42145,5274,793,4475,6,35802,21420,14382,246,815,8,3093,6538,46,6940,,
5,13117,17,北区,Kita-ku,54305,6858,1631,5218,9,45953,24449,21504,399,1018,77,3800,8982,11,1517,,
5,13118,18,荒川区,Arakawa-ku,35175,6317,1598,4654,65,27698,15189,12509,106,865,189,1877,6008,12,1175,,
5,13119,19,板橋区,Itabashi-ku,110927,16871,5962,10883,26,90631,49736,40895,533,2663,229,6710,18467,29,5560,,
5,13120,20,練馬区,Nerima-ku,163220,17418,5224,12159,35,141341,78869,62472,821,3420,220,8707,29315,25,6317,,
