年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
0,総数,Total,111023,58865,52158
2,0～9,0-9,314,168,146
3,0,0,205,116,89
3,1,1,32,10,22
3,2,2,16,9,7
3,3,3,8,6,2
3,4,4,14,5,9
3,5,5,8,6,2
3,6,6,5,3,2
3,7,7,9,6,3
3,8,8,6,3,3
3,9,9,11,4,7
2,10～19,10--19,155,108,47
3,10,10,6,5,1
3,11,11,10,5,5
3,12,12,9,6,3
3,13,13,11,7,4
3,14,14,12,8,4
3,15,15,13,9,4
3,16,16,15,13,2
3,17,17,22,18,4
3,18,18,30,16,14
3,19,19,27,21,6
2,20～29,20-29,519,343,176
3,20,20,43,29,14
3,21,21,36,28,8
3,22,22,50,36,14
3,23,23,45,27,18
3,24,24,44,31,13
3,25,25,54,37,17
3,26,26,47,27,20
3,27,27,65,44,21
3,28,28,62,43,19
3,29,29,73,41,32
2,30～39,30-39,1051,649,402
3,30,30,82,47,35
3,31,31,75,48,27
3,32,32,79,51,28
3,33,33,82,49,33
3,34,34,104,68,36
3,35,35,108,73,35
3,36,36,110,60,50
3,37,37,107,69,38
3,38,38,129,75,54
3,39,39,175,109,66
2,40～49,40-49,2592,1643,949
3,40,40,174,101,73
3,41,41,191,113,78
3,42,42,194,110,84
3,43,43,246,164,82
3,44,44,254,177,77
3,45,45,270,170,100
3,46,46,283,170,113
3,47,47,271,178,93
3,48,48,330,216,114
3,49,49,379,244,135
2,50～59,50-59,4845,3235,1610
3,50,50,374,252,122
3,51,51,394,254,140
3,52,52,416,277,139
3,53,53,413,265,148
3,54,54,473,307,166
3,55,55,497,340,157
3,56,56,499,343,156
3,57,57,538,361,177
3,58,58,600,404,196
3,59,59,641,432,209
2,60～69,60-69,13003,9115,3888
3,60,60,709,488,221
3,61,61,844,574,270
3,62,62,952,659,293
3,63,63,1157,798,359
3,64,64,1447,1036,411
3,65,65,1610,1130,480
3,66,66,1782,1244,538
3,67,67,1659,1172,487
3,68,68,1279,897,382
3,69,69,1564,1117,447
2,70～79,70-79,25494,16494,9000
3,70,70,2074,1412,662
3,71,71,2053,1435,618
3,72,72,2197,1479,718
3,73,73,2359,1599,760
3,74,74,2357,1539,818
3,75,75,2210,1434,776
3,76,76,2628,1661,967
3,77,77,2983,1894,1089
3,78,78,3281,2030,1251
3,79,79,3352,2011,1341
2,80～89,80-89,39519,20234,19285
3,80,80,3579,2101,1478
3,81,81,3768,2229,1539
3,82,82,3894,2216,1678
3,83,83,3988,2115,1873
3,84,84,4025,2131,1894
3,85,85,4017,2048,1969
3,86,86,4143,2040,2103
3,87,87,4115,1907,2208
3,88,88,4130,1797,2333
3,89,89,3860,1650,2210
2,90～99,90-99,21631,6575,15056
3,90,90,3505,1360,2145
3,91,91,3195,1065,2130
3,92,92,2986,993,1993
3,93,93,2806,836,1970
3,94,94,2442,703,1739
3,95,95,1826,493,1333
3,96,96,1596,423,1173
3,97,97,1319,307,1012
3,98,98,1052,212,840
3,99,99,904,183,721
2,100～109,100-109,1892,297,1595
3,100,100,599,114,485
3,101,101,482,75,407
3,102,102,304,46,258
3,103,103,193,27,166
3,104,104,150,19,131
3,105,105,73,9,64
3,106,106,47,5,42
3,107,107,26,2,24
3,108,108,13,-,13
3,109,109,5,-,5
2,110～113,110-113,3,1,2
3,110,110,2,1,1
3,111,111,1,-,1
3,112,112,-,-,-
3,113,113,-,-,-
3,114～,114- and over,-,-,-
3,不詳,Unknown age,5,3,2
1,（再掲) 0～14,(relisted) 0-14,362,199,163
1,（再掲) 15～64,(relisted) 15-64,14223,9502,4721
1,（再掲) 65～ 1),(relisted) 65 and over 1),96438,49164,47274
,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（平成26年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2014 ),,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
