品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,14458496,,6137426,,8321070
食料品及び動物,Foodstuffs and animals,,,,,,,,,,88177,,71501,,16676
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,112,28921,111,26051,0,2870
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,9669,,9278,,391
食料に適さない原材料,No beverage raw material,,,,,,,,,,123644,,116328,,7316
食料に適さない原材料,No beverage raw material,パルプ及び古紙,Pulp and usedpaper,,,,,1，000t,,2096,40646,2096,40646,-,-
食料に適さない原材料,No beverage raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,1，000t,,513,29375,513,29375,-,-
鉱物性燃料,Mineral fuels,,,,,,,,,,4430,,4015,,415
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,16,2137,15,1924,0,214
化学製品,Chemical products,,,,,,,,,,1339889,,643893,,695996
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,111234,,51559,,59675
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,757,449953,736,302739,21,147214
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1098601,,471009,,627592
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,60,82271,58,63266,2,19004
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,189922,,72640,,117282
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,,,,73381,,28566,,44815
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,245,55712,241,47723,4,7989
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,76,403171,66,94465,10,308706
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,273437,,130536,,142901
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,7346190,,3671964,,3674226
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,3133624,,1803011,,1330613
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,1，000t,,132,452769,124,253176,8,199593
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,724101,,483260,,240841
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,1mil.units,6,199075,2,86458,4,112616
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,,,,3687980,,1410266,,2277714
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,,,,208811,,118234,,90576
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,,,,598285,,263662,,334623
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,10，000台,10，000 units,377,203585,80,22890,297,180695
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio／visual apparatuses,,,1，000t,,4,128926,2,36221,2,92706
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,,,,256108,,111249,,144859
