年次,Year,月次,Month,通常郵便物 Letter mail／総数 Total,通常郵便物 Letter mail／普通郵便 Ordinary／計 Total,通常郵便物 Letter mail／普通郵便 Ordinary／第１種 1st class／定型 Fixed,通常郵便物 Letter mail／普通郵便 Ordinary／第１種 1st class／定型外 Unfixed,通常郵便物 Letter mail／普通郵便 Ordinary／第２種 2 nd class,通常郵便物 Letter mail／普通郵便 Ordinary／第３種 3 rd class,通常郵便物 Letter mail／普通郵便 Ordinary／第４種 4 th class,通常郵便物 Letter mail／特殊郵便 Special／計 Total,通常郵便物 Letter mail／特殊郵便 Special／書留 Registered,通常郵便物 Letter mail／特殊郵便 Special／普通速達等 Express,小包郵便 Parcel post／総数 total,小包郵便 Parcel post／普通 Ordinary,小包郵便 Parcel post／書留 Registered,小包郵便 Parcel post／普通速達等 Express
平成22,2010,総数,Total,4321422,4200056,2045405,343128,1642056,161337,8130,121365,63845,57520,710217,648764,52677,8776
平成23,2011,総数,Total,4074608,3951568,1898895,319630,1577587,148024,7431,123040,64989,58051,807291,745334,51618,10339
平成24,2012,総数,Total,3974253,3852885,1761480,309060,1637386,137606,7351,121368,61511,59856,860837,796241,53583,11013
平成25,2013,総数,Total,3982120,3854817,1759798,311106,1643908,132969,7037,127303,64136,63167,897801,833224,52278,12299
平成26,2014,総数,Total,3902726,3768672,1713351,321132,1600214,127385,6590,134054,61617,72436,878509,814457,51242,12810
平成26,2014,4,Apr.,299020,288415,131082,25000,120940,10824,569,10605,5215,5390,68405,62360,5176,869
平成26,2014,5,May,318176,308100,127790,32518,136679,10513,599,10076,4950,5126,72055,66626,4477,952
平成26,2014,6,June,371813,361176,166945,49910,133289,10436,595,10637,4841,5796,72411,67569,3870,971
平成26,2014,7,July,318393,304694,145949,23220,124299,10609,617,13699,6249,7450,70583,64960,4492,1131
平成26,2014,8,Aug. ,288179,277059,124327,20419,121384,10436,493,11119,4416,6704,63834,58979,3811,1044
平成26,2014,9,Sept.,302831,292675,139045,21991,120712,10384,542,10156,4666,5490,71871,66873,3925,1072
平成26,2014,10,Oct.,379114,368017,163902,24961,167836,10776,542,11097,5014,6083,76762,70807,4888,1067
平成26,2014,11,Nov.,326318,315922,149396,22513,132618,10897,499,10396,4695,5701,77203,72816,3316,1072
平成26,2014,12,Dec.,347582,335802,155403,24525,143444,11861,569,11780,5383,6397,79409,74176,3889,1343
平成27,2015,1,Jan.,329375,318376,149707,22683,136209,9293,484,10999,5061,5939,61682,56522,4087,1072
平成27,2015,2,Feb.,294951,284359,124296,21327,128850,9369,518,10592,4856,5736,77124,72012,4070,1042
平成27,2015,3,Mar.,326976,314079,135510,32066,133952,11988,562,12898,6273,6625,87171,80756,5239,1176
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,,,,,
5-2　内国郵便物の引受数 （平成22～26年度） 5-2　ACCEPTANCE OF DOMESTIC ORDINARY MAIL (Fiscal Years 2010-2014),,,,,,,,,,,,,,,,,
この表の郵便物数は， 内国郵便物数であって， 無料郵便物を含む概数である。 なお， 年賀郵便， 選挙郵便物は含まれていない。,,,,,,,,,,,,,,,,,
Figures refer to domestic mail containing free mail and are provisional. New year greeting mail and election　mail are excluded.,,,,,,,,,,,,,,,,,
資料：日本郵便株式会社東京支社      Source : Japan Post Co.，Ltd,,,,,,,,,,,,,,,,,
（単位　通常　千通， 小包　千個）(In thousands of pieces),,,,,,,,,,,,,,,,,
