年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
平成23,2011,0,,総数,Total,,555383,257706,568,3831,29414,21192,10207,60,664,62531,169210
平成24,2012,0,,総数,Total,,553724,257174,526,3891,28528,21177,10123,60,994,62652,168599
平成25,2013,0,,総数,Total,,550809,255585,511,3891,27408,21241,10129,60,1052,63213,167719
平成26,2014,0,,総数,Total,,549671,255563,484,3890,25771,21523,9863,60,1123,64202,167192
平成26,2014,1,13100,区部,All ku,,345249,164787,89,1907,20252,13596,9267,26,1047,31626,102652
平成26,2014,2,13101,千代田区,Chiyoda-ku,,1551,292,-,14,183,325,476,-,114,97,50
平成26,2014,2,13102,中央区,Chuo-ku,,8652,1453,-,-,418,130,1156,-,75,425,4995
平成26,2014,2,13103,港区,Minato-ku,,10680,4998,-,175,884,273,723,-,-,339,3288
平成26,2014,2,13104,新宿区,Shinjuku-ku,,10324,7156,-,4,293,989,515,-,-,311,1056
平成26,2014,2,13105,文京区,Bunkyo-ku,,2372,564,-,1,197,225,279,-,-,264,842
平成26,2014,2,13106,台東区,Taito-ku,,2130,1033,-,-,338,196,404,-,-,-,159
平成26,2014,2,13107,墨田区,Sumida-ku,,11926,6543,-,122,1037,388,462,-,61,269,3044
平成26,2014,2,13108,江東区,Koto-ku,,45427,20387,-,352,2160,570,78,-,-,5016,16864
平成26,2014,2,13109,品川区,Shinagawa-ku,,10418,3446,-,27,476,361,1266,-,168,544,4130
平成26,2014,2,13110,目黒区,Meguro-ku,,2820,656,-,119,206,660,357,-,-,-,822
平成26,2014,2,13111,大田区,Ota-ku,,14856,6476,32,94,1376,1663,697,-,-,1295,3223
平成26,2014,2,13112,世田谷区,Setagaya-ku,,20579,6357,-,1,670,1453,870,-,-,5405,5823
平成26,2014,2,13113,渋谷区,Shibuya-ku,,3933,2254,-,-,206,423,114,-,-,130,806
平成26,2014,2,13114,中野区,Nakano-ku,,5722,2265,-,12,501,546,187,-,20,1989,202
平成26,2014,2,13115,杉並区,Suginami-ku,,6538,3113,-,3,413,1198,177,-,-,774,860
平成26,2014,2,13116,豊島区,Toshima-ku,,3882,1345,-,-,265,380,437,-,85,146,1224
平成26,2014,2,13117,北区,Kita-ku,,28275,13474,15,76,619,872,191,-,7,964,12057
平成26,2014,2,13118,荒川区,Arakawa-ku,,6692,4044,-,131,629,86,302,-,-,6,1494
平成26,2014,2,13119,板橋区,Itabashi-ku,,27726,11256,21,30,1245,664,374,-,-,2980,11156
平成26,2014,2,13120,練馬区,Nerima-ku,,23746,12441,-,98,2668,885,71,26,-,1567,5990
平成26,2014,2,13121,足立区,Adachi-ku,,48463,30795,14,411,1892,680,77,-,73,2240,12281
平成26,2014,2,13122,葛飾区,Katsushika-ku,,20892,11677,7,54,1401,564,54,-,240,116,6779
平成26,2014,2,13123,江戸川区,Edogawa-ku,,27645,12762,-,183,2175,65,-,-,204,6749,5507
平成26,2014,1,13200,市部,All shi,,201610,89798,-,1966,5519,6632,469,34,76,32576,64540
平成26,2014,2,13201,八王子市,Hachioji-shi,,25169,10787,-,608,1001,1353,-,-,-,2927,8493
平成26,2014,2,13202,立川市,Tachikawa-shi,,12550,5100,-,58,514,563,5,-,-,1352,4958
平成26,2014,2,13203,武蔵野市,Musashino-shi,,4564,1967,-,2,227,199,105,-,-,-,2064
平成26,2014,2,13204,三鷹市,Mitaka-shi,,7206,3788,-,85,339,129,38,-,-,-,2827
平成26,2014,2,13205,青梅市,Ome-shi,,2178,405,-,16,-,749,-,-,-,1008,-
平成26,2014,2,13206,府中市,Fuchu-shi,,6836,4503,-,59,239,679,153,-,-,-,1203
平成26,2014,2,13207,昭島市,Akishima-shi,,6579,3919,-,16,120,20,13,-,-,991,1500
平成26,2014,2,13208,調布市,Chofu-shi,,9427,4616,-,82,330,274,16,-,-,1040,3069
平成26,2014,2,13209,町田市,Machida-shi,,27665,8065,-,125,429,548,7,-,-,9830,8661
平成26,2014,2,13210,小金井市,Koganei-shi,,3114,654,-,-,328,179,20,-,-,1179,754
平成26,2014,2,13211,小平市,Kodaira-shi,,8287,5470,-,14,284,27,11,-,-,21,2460
平成26,2014,2,13212,日野市,Hino-shi,,10052,2908,-,8,168,651,37,12,17,906,5345
平成26,2014,2,13213,東村山市,Higashimurayama-shi,,8330,5686,-,35,139,91,-,-,-,622,1757
平成26,2014,2,13214,国分寺市,Kokubunji-shi,,3011,1687,-,3,445,20,13,-,-,-,843
平成26,2014,2,13215,国立市,Kunitachi-shi,,4938,2017,-,470,55,-,-,-,-,-,2396
平成26,2014,2,13218,福生市,Fussa-shi,,3613,757,-,2,24,327,5,-,-,1634,864
平成26,2014,2,13219,狛江市,Komae-shi,,2715,1801,-,-,70,45,3,-,-,786,10
平成26,2014,2,13220,東大和市,Higashiyamato-shi,,5221,3083,-,3,11,29,1,-,-,2094,-
平成26,2014,2,13221,清瀬市,Kiyose-shi,,7160,3701,-,40,-,135,1,-,13,1140,2130
平成26,2014,2,13222,東久留米市,Higashikurume-shi,,7835,2555,-,9,143,-,1,22,46,2865,2194
平成26,2014,2,13223,武蔵村山市,Musashimurayama-shi,,4570,4331,-,1,-,25,-,-,-,-,213
平成26,2014,2,13224,多摩市,Tama-shi,,13072,4920,-,4,83,132,1,-,-,1630,6302
平成26,2014,2,13225,稲城市,Inagi-shi,,4561,1240,-,146,113,10,-,-,-,1650,1402
平成26,2014,2,13227,羽村市,Hamura-shi,,1342,349,-,1,21,131,-,-,-,-,840
平成26,2014,2,13228,あきる野市,Akiruno-shi,,268,-,-,-,-,268,-,-,-,-,-
平成26,2014,2,13229,西東京市,Nishitokyo-shi,,11347,5489,-,179,436,48,39,-,-,901,4255
平成26,2014,1,13300,郡部,All gun,,1282,978,-,17,-,202,85,-,-,-,-
平成26,2014,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
平成26,2014,2,13305,日の出町,Hinode-machi,,63,-,-,-,-,63,-,-,-,-,-
平成26,2014,2,13308,奥多摩町,Okutama-machi,,86,-,-,-,-,44,42,-,-,-,-
平成26,2014,2,13307,檜原村,Hinohara-mura,,66,-,-,-,-,23,43,-,-,-,-
平成26,2014,1,13350,島部,All islands,,1528,-,393,-,-,1093,42,-,-,-,-
平成26,2014,1,99999,* 都外,* Out of Tokyo-to,3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数（平成23～平成26年度末） 3-5  RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year  2011-2014 ）,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。,,,,,,,,,,,,,,,,,
3) ＊神奈川県相模原市所在の引揚者住宅。,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は，公営：公営住宅，借上公営住宅 ／その他：特定公共賃貸住宅，特定優良賃貸住宅，改良住宅，区市町村単独住宅等。,,,,,,,,,,,,,,,,,
Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority of the residential units are located.,,,,,,,,,,,,,,,,,
