品目階層,品目,Item,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value,平成25年 2013／数量 Quantity,平成25年 2013／金額 Value,平成26年 2014／数量 Quantity,平成26年 2014／金額 Value
0,総数,Total,2090489,524609209,2074745,531670296,2077339,541068774
1,野菜,Vegetables,1572124,352622516,1571007,361499440,1571449,365025521
2,根菜類,Root vegetables,262042,33970142,264219,34798961,275130,33278112
3,だいこん,Japanese radish,133794,12363360,137008,12578741,144429,11305909
3,かぶ,Turnip,17537,2286569,16895,2282632,16914,2248958
3,にんじん,Carrot,88394,11031500,87159,12322465,92382,10961400
3,ごぼう,Edible burdock,10607,3043786,10708,2612349,9653,2971844
3,れんこん,Lotus root,8427,3775998,9700,3594093,8724,4228052
3,その他,Others,3283,1468929,2749,1408681,3028,1561948
2,キャベツ類,Cabbage varieties,190607,15857440,183690,17814302,183514,17056717
2,レタス類,Lettuce varieties,95565,19172896,97020,19754669,97238,18898818
2,葉茎菜類,Leaf and stem vegetables,294504,77151268,298359,79359474,298403,78990511
3,はくさい,Chinese cabbage,116086,7215839,118657,8485500,116145,7561739
3,こまつな,"""Komatsuna""",10892,3425105,11932,3715677,13086,3883248
3,ほうれんそう,Spinach,15575,7977389,15651,8015144,16294,8278410
3,ねぎ,Welsh onion,57150,15661114,57615,16055119,57236,15657022
3,ブロッコリー,Broccoli,25331,8433825,25151,8488180,26888,8819572
3,その他,Others,69470,34437996,69353,34599854,68754,34790520
2,果菜類,Fruit vegetables,322108,105877809,317106,107851747,314537,107725199
3,きゅうり,Cucumber,79382,22355412,77205,23455261,74269,23780113
3,かぼちゃ,Pumpkin　,42343,5775674,36930,5867234,33510,6582009
3,なす,Eggplant,32169,10331090,30546,10484272,30690,11007591
3,トマト,Tomato,84220,32678525,86628,30683633,87662,28945663
3,ピーマン,Bell pepper,22802,7853475,22643,9254210,23318,8755528
3,その他,Others,61192,26883633,63154,28107137,65088,28654296
2,豆科野菜類,Legumes,17079,11437987,15935,11522053,16596,12044546
3,いんげん,String bean,4317,3113315,4145,3132714,4089,3164520
3,えだまめ,Green soybean,6711,4153132,5260,4330036,6091,4585993
3,その他,Others,6051,4171540,6530,4059303,6417,4294033
2,ばれいしょ類,Potatoes,102234,10904709,99678,11110560,100084,11641771
2,土物類,Sweet potatoes／onions， etc.,189972,29723530,199757,30196902,193766,35037422
3,かんしょ,Sweet potato,30709,5315452,31575,5258643,31221,6229455
3,たまねぎ,Onion,126428,12779596,135537,12845858,130646,15199933
3,その他,Others,32835,11628482,32645,12092401,31899,13608034
2,香辛つま物類,Spices／garnishes,14440,16070067,14277,16766851,13598,17592891
3,根しょうが,Ginger,6036,2719836,6075,2576919,5350,3127271
3,その他,Others,8404,13350231,8202,14189932,8248,14465620
2,きのこ山菜類,Mushrooms／Wild plants,45134,22619353,43197,23163452,42860,23776321
3,なましいたけ,"""Shiitake"" mushroom， fresh",7795,6742926,7251,6757515,7024,6957785
3,えのきだけ,"""Enokidake"" mushroom",13102,3218608,13382,3253361,13500,3378628
3,しめじ,"""Shimeji"" mushroom",11064,4351424,10371,4504135,10700,4661080
3,その他,Others,13173,8306395,12193,8648441,11636,8778828
2,その他野菜類,Others,7866,3697929,8725,3419531,6963,3140124
3,うめ,"""Ume"" apricot",2319,1141984,3006,843807,2802,849395
3,その他,Others,5547,2555945,5719,2575724,4160,2290728
2,野菜加工品,Processed vegetables,30573,6139387,29046,5740937,28760,5843089
1,果実,Fruits,472870,158626392,459911,156900257,466968,163003218
2,みかん類,Mandarins,110596,28193404,106570,26770966,107017,25187216
2,かんきつ類,Citrus varieties,62804,16068210,55291,13599796,58681,15315601
3,いよかん,"""Iyo""tangor",8226,1768393,6355,1231408,7567,1319841
3,グレープ,Grapefruit,8229,1181742,6535,950489,5494,904758
3,その他,Others,46349,13118075,42401,11417899,45620,13091001
2,りんご類,Apples,55635,17957037,67172,17719729,66404,19596217
2,日本なし類,Japanese pears,24839,7605715,24926,6940309,26021,7337028
2,西洋なし類,European pears,2575,892721,3186,1024925,2474,901285
2,かき類,Japanese persimmons,25096,5318984,21311,5900834,22927,5706813
2,びわ類,Loquats,367,553186,594,711917,503,687619
2,もも類,Peaches,15519,7055852,14879,7101980,15880,7441678
2,すもも類,Plums,2988,1430147,2711,1336366,3207,1603899
2,おうとう類,Cherries,1767,3113698,1819,3303593,1982,3521949
2,あんず類,Apricots,108,53632,77,42979,141,71055
2,ぶどう類,Grapes,15191,10841679,14512,11140558,14801,11707911
2,くり類,Chestnuts,1337,608793,1214,633039,1473,664689
2,いちぢく類,Figs,1346,967753,1255,898306,1371,1009328
2,いちご類,Strawberries,22407,26148779,24407,27143627,24316,28759226
2,メロン類,Melons,23090,10063278,22082,10132906,22545,10571172
2,すいか類,Watermelons,44471,8050387,43405,8529956,46776,8357852
2,その他果実,Other fruits,58342,10616108,50300,10958980,46839,11608850
2,果実加工品,Processed fruits,4390,3087031,4199,3009491,3610,2953831
1,つけ物,Pickles,13874,6849855,13432,6874844,12102,6630503
1,その他食料品,Other foods,18246,3630739,17465,3405573,14764,3237738
1,鳥卵,Poultry eggs,13375,2879707,12930,2990183,12056,3171794
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成24～26年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2012-2014 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
