年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成22,2010,総数,Total,,,,21488,14053,7435,21488,14053,7435
平成23,2011,総数,Total,,,,22269,14766,7503,22269,14766,7503
平成24,2012,総数,Total,,,,22850,14813,8037,22850,14813,8037
平成25,2013,総数,Total,,,,24368,16034,8334,24368,16034,8334
平成26,2014,総数,Total,,,,25778,17085,8693,25778,17085,8693
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,7798,5588,2210,7791,5588,2203
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,4127,2574,1553,4433,2574,1859
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,819,408,411,762,408,354
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1470,782,688,1402,782,620
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,601,374,227,594,374,220
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1401,894,507,1366,894,472
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,868,607,261,849,607,242
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1544,999,545,1528,999,529
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1771,1192,579,1748,1192,556
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1489,1018,471,1451,1018,433
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,710,373,337,710,373,337
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1213,844,369,1197,844,353
平成26,2014,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,1967,1432,535,1947,1432,515
,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成22～26年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2010-2014 ),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
