地域階層,地域コード,地域,District,除却 Removed／建築物数 Number,除却 Removed／床面積の合計 Total floor space,除却 Removed／建築物評価額 Estimated value,災害 Damaged by disasters／建築物数 Number,災 害Damaged by disasters／床面積の合計 Total floor space,災害 Damaged by disasters／建築物損害見積額 Estimated damages
0,13000,総数,Tokyo-to,9061,2641544,9207852,176,13643,146678
1,13100,区部,All ku,6210,2103323,8617293,133,10000,113244
5,13101,千代田区,Chiyoda-ku,54,141386,192834,7,721,49292
5,13102,中央区,Chuo-ku,200,370946,5079709,3,56,732
5,13103,港区,Minato-ku,160,258392,900565,-,-,-
5,13104,新宿区,Shinjuku-ku,230,54995,104148,3,211,2916
5,13105,文京区,Bunkyo-ku,146,48460,216823,-,-,-
5,13106,台東区,Taito-ku,108,39074,5472,12,908,907
5,13107,墨田区,Sumida-ku,178,41388,42360,3,58,58
5,13108,江東区,Koto-ku,194,131105,455524,9,691,2070
5,13109,品川区,Sｈinagawa-ku,217,85858,138190,2,69,238
5,13110,目黒区,Meguro-ku,201,29105,37594,1,164,4500
5,13111,大田区,Ota-ku,512,74718,192516,8,380,3040
5,13112,世田谷区,Setagaya-ku,739,134483,167529,13,645,4501
5,13113,渋谷区,Shibuya-ku,174,76486,141831,3,126,189
5,13114,中野区,Nakano-ku,181,25333,35329,2,189,160
5,13115,杉並区,Suginami-ku,508,89065,88326,16,898,2694
5,13116,豊島区,Toshima-ku,175,27346,18966,-,-,-
5,13117,北区,Kita-ku,265,130162,252535,-,-,-
5,13118,荒川区,Arakawa-ku,138,24501,31504,4,405,2848
5,13119,板橋区,Itabashi-ku,287,56073,82292,8,626,3529
5,13120,練馬区,Nerima-ku,602,92064,132374,12,805,7683
5,13121,足立区,Adachi-ku,430,94838,218085,13,999,16027
5,13122,葛飾区,Katsushika-ku,272,42376,41282,-,-,-
5,13123,江戸川区,Edogawa-ku,239,35169,41505,14,2049,11860
1,13200,市部,All shi,2749,518241,549460,43,3643,33434
5,13201,八王子市,Hachioji-shi,276,42455,55481,19,1032,8910
5,13202,立川市,Tachikawa-shi,133,21794,36804,4,266,1184
5,13203,武蔵野市,Musashino-shi,128,20262,19027,-,-,-
5,13204,三鷹市,Mitaka-shi,153,77488,21835,-,-,-
5,13205,青梅市,Ome-shi,86,20850,9926,-,-,-
5,13206,府中市,Fuchu-shi,266,32192,45342,-,-,-
5,13207,昭島市,Akishima-shi,64,6296,5391,1,164,2514
5,13208,調布市,Chofu-shi,126,28848,77238,5,125,724
5,13209,町田市,Machida-shi,264,51396,40429,8,1796,17960
5,13210,小金井市,Koganei-shi,112,19398,31032,-,-,-
5,13211,小平市,Kodaira-shi,175,36188,34932,-,-,-
5,13212,日野市,Hino-shi,98,31379,43558,-,-,-
5,13213,東村山市,Higashimurayama-shi,85,8658,8090,-,-,-
5,13214,国分寺市,Kokubunji-shi,104,12610,18950,-,-,-
5,13215,国立市,Kunitachi-shi,59,8584,6208,-,-,-
5,13218,福生市,Fussa-shi,36,3448,2108,-,-,-
5,13219,狛江市,Komae-shi,49,5522,5584,-,-,-
5,13220,東大和市,Higashiyamato-shi,31,3447,3098,-,-,-
5,13221,清瀬市,Kiyose-shi,41,4760,4091,-,-,-
5,13222,東久留米市,Higashikurume-shi,80,8022,8495,-,-,-
5,13223,武蔵村山市,Musashimurayama-shi,43,5633,1179,-,-,-
5,13224,多摩市,Tama-shi,49,9771,16688,-,-,-
5,13225,稲城市,Inagi-shi,29,2945,2728,-,-,-
5,13227,羽村市,Hamura-shi,37,12778,30438,-,-,-
5,13228,あきる野市,Akiruno-shi,60,7973,5337,-,-,-
5,13229,西東京市,Nishitokyo-shi,165,35544,15471,6,260,2142
,,郡部，島部,All gun and islands,102,19980,41099,-,-,-
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,
3-13  地 域 別 滅 失 建 築 物 （平成26年） ,,,,,,,,,
DESTROYED BUILDINGS BY DISTRICT ( 2014 ) ,,,,,,,,,
この表は建築基準法により， 工事施工者から知事に届出のあった建築物除去届及び市町村長からの建築物災害報告によって作成された ,,,,,,,,,
もので，対象は床面積の合計が10平方メートルを越える建築物である。 ,,,,,,,,,
This table is based on notifications of building removal submitted to the Governor by contractors，and reports on buildings damaged by,,,,,,,,,
disasters submitted by the heads of shi，machi，and mura，and covers buildings with total floor space of more than 10 square meters.,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）   (Space in m2， Value in 10 thousand yen),,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,
