会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,981170,981603,981603
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,981170,981603,981603
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,981170,981603,981603
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,981170,981603,981603
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,1321421,1387442,1294016
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,877064,937611,841594
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,299018,302383,304975
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,145339,147448,147447
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,1187983,1211562,1154853
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,1187983,1211562,1154853
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,277,277,730
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,13,13,14
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,1,1,0
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,263,263,715
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,277,277,13
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,277,277,13
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳入,Revenue,4764,4764,5131
母子父子福祉貸付資金,Single parent welfare loan funds,1,事業収入,Operations,2687,2687,3020
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰入金,Funds transferred,516,516,227
母子父子福祉貸付資金,Single parent welfare loan funds,1,諸収入,Miscellaneous,0,0,1
母子父子福祉貸付資金,Single parent welfare loan funds,1,都債,Metropolitan debt,718,718,71
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰越金,Balance brought forward,843,843,1811
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳出,Expenditure,4764,4764,3754
母子父子福祉貸付資金,Single parent welfare loan funds,1,貸付費,Loans,4764,4764,3754
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,5926,5926,5695
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,事業収入,Enterprises,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,243,243,219
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,5683,5683,5473
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,5926,5926,5695
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,扶養年金費,Annuity,5926,5926,5695
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳入,Revenue,5491,5491,4047
