"地区","65歳以上 男[人]","65歳以上 女[人]","合計 [人]"
"芝","352","960","1312"
"麻布","314","1022","1336"
"赤坂","315","1051","1366"
"高輪","473","1521","1994"
"芝浦港南","461","1069","1530"
"合計","1915","5623","7538"

"令和元年度港区行政資料集　ひとり暮らし高齢者数（実態調査）","Ver201901",,
