"選挙名称","時現在","合計[人]","開票率[%]","残票[票]"
"平成26年12月14日執行　衆議院議員選挙","22:30","70,500","72.20","27,151"
"平成26年12月14日執行　衆議院議員選挙","23:40","92,000","94.21","5,651"
"平成26年12月14日執行　衆議院議員選挙","0:15","93,932","100","0"

"平成26年12月14日執行　衆議院小選挙区選出議員選挙開票推移","Ver201412",,,
