"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202110","馬場回生堂鍼灸療院","東京都港区芝大門二丁目3番5号","大貫ビル2階","2021/9/30","35.656460","139.753978"
"202110","白金はり灸マッサージ室","東京都港区白金三丁目9番16号","マロン白金3A","2021/10/3","35.645888","139.730815"
"202110","東洋医学はりきゅう久志田治療所","東京都港区南青山五丁目10番5号","九曜ビル青山ハイツ803号","2021/9/28","35.662487","139.711362"
"202111","ヘルスキーパー室","東京都港区赤坂四丁目8番18号","6階","2021/10/22","35.676044","139.733775"
"202111","ＡＲＣ　Ｌａｂｏ鍼灸院","東京都港区赤坂五丁目4番8号","クレールタイヨービル6階","2021/10/31","35.671918","139.735774"
"202111","ウィダートレーニングラボ治療院","東京都港区芝浦一丁目13番16号",,"2021/10/22","35.646601","139.752953"
"202111","博厚堂はり治療院","東京都港区新橋五丁目22番3号","ル・グラシエルビル3 6階","2021/10/21","35.663596","139.753257"
"202111","いいね鍼灸院","東京都港区東新橋二丁目6番7号","電光ビル3階","2021/11/12","35.661734","139.756932"
"202201","あん摩マッサージ・はり・きゅうびぃなす治療院","東京都港区赤坂三丁目17番8号","都ビル601","2022/1/13","35.675018","139.736283"
"202201","ｎｏｂｏｒｉ鍼灸院","東京都港区東麻布一丁目29番17号","グランクリュー麻布502号室","2022/1/6","35.655353","139.742181"
"202201","表参道スポーツ鍼灸院","東京都港区南青山五丁目10番2号","第2九曜ビルディング105号室","2021/12/31","35.662706","139.711161"
"202202","はりきゅうマッサージ治療室　佐藤","東京都港区北青山三丁目10番2号","青山アイリット2B","2021/12/25","35.664504","139.710514"
"202202","ＳＣＳ鍼灸院","東京都港区六本木七丁目7番13号","2階","2022/2/10","35.664922","139.728561"
"202203","スミダ治療室鍼灸","東京都港区赤坂四丁目3番30号","横川ビル205","2021/2/28","35.674814","139.735684"
"202203","友野第二治療院","東京都港区芝五丁目9番5号",,"2022/3/14","35.64927","139.746646"
"202203","ＥＡＳＥ鍼灸院　新橋","東京都港区新橋五丁目8番4号","1階","2022/3/25","35.663615","139.755285"
"202203","アキュサリュート高輪","東京都港区高輪四丁目8番23号","エスパシオ高輪102","2022/2/28","35.628865","139.733948"
"202203","デポルターレ鍼灸院","東京都港区西麻布四丁目21番2号","コートヤードHIROO1階","2022/2/26","35.657143","139.719589"
"202203","さくらりきゅう鍼灸マッサージ院","東京都港区東麻布二丁目22番10号","メゾン東麻布107","2022/2/28","35.656480","139.741041"
"202203","安達治療室","東京都港区東新橋一丁目10番1号","L2906","2021/12/31","35.660745","139.759857"

"施術所（あはき）廃止一覧(令和4年3月31日現在)","Ver202203",,,,,
