産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.57,1.45,1.27,1.17
"鉱業,採石業,砂利採取業",0.71,1.41,0.71,1.41
建設業,0.7,1,0.61,0.67
製造業,0.66,0.73,0.69,0.67
電気・ガス・熱供給・水道業,1.72,0.87,1.9,0.83
情報通信業,0.7,0.98,0.61,0.79
"運輸業,郵便業",2.69,1.16,2.44,1.25
"卸売業,小売業",1.25,1.2,0.88,0.77
"金融業,保険業",0.78,1.04,0.73,1.03
"不動産業,物品賃貸業",1.91,1.5,1.55,1.14
"学術研究,専門・技術サービス業",0.8,0.92,0.69,0.61
"宿泊業,飲食サービス業",4.08,3.47,2.74,2.38
"生活関連サービス業,娯楽業",2.32,2.39,1.92,2.54
"教育,学習支援業",0.94,0.71,0.99,0.53
"医療,福祉",1.5,1.81,1.3,1.66
複合サービス事業,0.4,2.56,0.13,2.96
サービス業（他に分類されないもの）,2.68,2.09,2.85,2.34
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,
第４表  産業別労働異動率,,,,
