産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.3,1.62,1.2,1.5
"鉱業,採石業,砂利採取業",1.08,1.17,1.08,1.17
建設業,0.87,1.25,0.95,1.03
製造業,0.91,1.06,0.66,1.02
電気・ガス・熱供給・水道業,1.39,1.19,1.53,1.05
情報通信業,0.87,1.21,0.69,1.02
"運輸業,郵便業",0.86,2.32,0.96,2.49
"卸売業,小売業",0.91,1.39,0.6,1.52
"金融業,保険業",1.28,1.27,1.39,1.39
"不動産業,物品賃貸業",1.53,1.4,1.25,1.47
"学術研究,専門・技術サービス業",1.19,1.26,0.9,1.03
"宿泊業,飲食サービス業",1.95,3,1.39,2.17
"生活関連サービス業,娯楽業",1.06,2.74,1.21,2.17
"教育,学習支援業",0.61,0.57,0.52,0.47
"医療,福祉",1.21,1.59,1.07,1.42
複合サービス事業,0.38,0.1,0.4,0.07
サービス業（他に分類されないもの）,3.56,2.52,3.99,2.72
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１月分,,,,
第４表  産業別労働異動率,,,,
