事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,TL 調査産業計,平成17,2005,年平均,512455,403284,376119,27165,109171,108162,104962,100909,4053,3200
５人以上,TL 調査産業計,平成18,2006,年平均,516550,401429,373203,28226,115121,109075,106050,101567,4483,3025
５人以上,TL 調査産業計,平成19,2007,年平均,512110,397234,370097,27137,114876,106896,103866,99898,3968,3030
５人以上,TL 調査産業計,平成20,2008,年平均,517251,400655,373585,27070,116596,108279,104814,100542,4272,3465
５人以上,TL 調査産業計,平成21,2009,年平均,494621,395933,369780,26153,98688,106303,103760,99810,3950,2543
５人以上,TL 調査産業計,平成22,2010,年平均,497891,396502,370066,26436,101389,108786,106171,102119,4052,2615
５人以上,TL 調査産業計,平成23,2011,年平均,497890,395670,368952,26718,102220,107665,105180,101583,3597,2485
５人以上,TL 調査産業計,平成23,2011,1月,417183,393700,367628,26072,23483,102715,101964,98200,3764,751
５人以上,TL 調査産業計,平成23,2011,2月,408797,395773,368550,27223,13024,102832,102479,98780,3699,353
５人以上,TL 調査産業計,平成23,2011,3月,431868,397238,368515,28723,34630,102663,101425,97979,3446,1238
５人以上,TL 調査産業計,平成23,2011,4月,420824,399456,370750,28706,21368,105468,104616,101119,3497,852
５人以上,TL 調査産業計,平成23,2011,5月,428322,392480,366592,25888,35842,107249,106731,103295,3436,518
５人以上,TL 調査産業計,平成23,2011,6月,753419,395447,369547,25900,357972,112675,107410,103905,3505,5265
５人以上,TL 調査産業計,平成23,2011,7月,553119,395789,369372,26417,157330,112647,107178,103306,3872,5469
５人以上,TL 調査産業計,平成23,2011,8月,406729,391636,366581,25055,15093,107187,106591,103187,3404,596
５人以上,TL 調査産業計,平成23,2011,9月,406443,394800,369734,25066,11643,107612,106497,103136,3361,1115
５人以上,TL 調査産業計,平成23,2011,10月,410525,395288,369124,26164,15237,106226,105645,102043,3602,581
５人以上,TL 調査産業計,平成23,2011,11月,426507,396407,368870,27537,30100,105596,104962,101449,3513,634
５人以上,TL 調査産業計,平成23,2011,12月,910320,400077,372189,27888,510243,119263,106812,102759,4053,12451
５人以上,C 鉱業，採石業，砂利採取業,平成17,2005,年平均,627530,447134,440007,7127,180396,55619,49905,49905,0,5714
５人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,703499,453691,445099,8592,249808,40074,35852,35852,0,4222
５人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,678091,473173,440651,32522,204918,102823,99062,98989,73,3761
５人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,730537,482660,452894,29766,247877,92078,89633,88919,714,2445
５人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,734124,494185,473764,20421,239939,228941,228672,220351,8321,269
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,725904,492206,468319,23887,233698,297415,288323,280677,7646,9092
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,711980,484653,464182,20471,227327,313567,302425,302406,19,11142
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,1月,656017,494751,473625,21126,161266,387750,382125,382125,0,5625
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,2月,492903,488933,466552,22381,3970,396750,380625,380500,125,16125
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,3月,518850,489696,467743,21953,29154,440375,408625,408625,0,31750
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,4月,504850,499396,477922,21474,5454,267059,262706,262706,0,4353
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,5月,477224,470514,447379,23135,6710,244824,240471,240471,0,4353
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,6月,1392056,477622,459203,18419,914434,350500,318250,318250,0,32250
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,7月,861152,482504,461536,20968,378648,286500,282250,282250,0,4250
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,8月,493454,488601,469094,19507,4853,271250,265375,265250,125,5875
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,9月,514569,481626,464576,17050,32943,254526,228947,228947,0,25579
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,10月,489053,484271,466301,17970,4782,324727,320727,320727,0,4000
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,11月,483082,480726,459833,20893,2356,304952,301333,301333,0,3619
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,12月,1633453,478764,457722,21042,1154689,263000,261500,261500,0,1500
５人以上,D 建設業,平成17,2005,年平均,501907,414570,391568,23002,87337,169596,166258,159577,6681,3338
５人以上,D 建設業,平成18,2006,年平均,486406,408435,384473,23962,77971,155660,145837,138133,7704,9823
５人以上,D 建設業,平成19,2007,年平均,492761,406500,379263,27237,86261,161016,153523,147093,6430,7493
５人以上,D 建設業,平成20,2008,年平均,474962,395783,367989,27794,79179,161899,158239,152679,5560,3660
