産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.29,1.39,1.01,1.16
"鉱業,採石業,砂利採取業",0.67,1.64,0.67,1.64
建設業,1.04,0.67,1.09,0.77
製造業,0.62,0.7,0.54,0.73
電気・ガス・熱供給・水道業,0.42,2.4,0.34,2.35
情報通信業,0.74,0.91,0.57,0.83
"運輸業,郵便業",1.12,1.13,1.12,1.06
"卸売業,小売業",1.16,1.25,0.61,0.8
"金融業,保険業",0.63,1.2,0.69,1.1
"不動産業,物品賃貸業",1.61,2.02,1.22,1.85
"学術研究,専門・技術サービス業",0.59,0.86,0.62,0.59
"宿泊業,飲食サービス業",2.82,3.19,2.44,2.92
"生活関連サービス業,娯楽業",1.97,1.75,1.5,1.84
"教育,学習支援業",0.85,0.71,0.49,0.21
"医療,福祉",1.45,1.36,0.87,1.15
複合サービス事業,0.59,0.26,0.37,0.36
サービス業（他に分類されないもの）,2.35,2.31,2.67,2.55
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,
第４表  産業別労働異動率,,,,
