"年齢[歳]","芝 男[人]","芝 女[人]","芝 計[人]","麻布 男[人]","麻布 女[人]","麻布 計[人]","赤坂 男[人]","赤坂 女[人]","赤坂 計[人]","高輪 男[人]","高輪 女[人]","高輪 計[人]","芝浦港南 男[人]","芝浦港南 女[人]","芝浦港南 計[人]"
"0～ 4","1013","1026","2039","1723","1588","3311","1002","948","1950","1662","1585","3247","2141","1927","4068"
"5～ 9","649","659","1308","1484","1419","2903","772","742","1514","1350","1367","2717","1573","1524","3097"
"10～14","486","473","959","1125","1051","2176","631","628","1259","1106","1116","2222","1216","1125","2341"
"15～19","504","462","966","822","792","1614","529","530","1059","914","919","1833","851","852","1703"
"20～24","836","1008","1844","1208","1330","2538","688","660","1348","1254","1268","2522","1024","992","2016"
"25～29","1891","1849","3740","2311","2260","4571","993","1099","2092","1713","2006","3719","1431","1572","3003"
"30～34","1981","2190","4171","2617","2851","5468","1352","1433","2785","2110","2661","4771","2137","2559","4696"
"35～39","2016","2082","4098","2904","3317","6221","1569","1727","3296","2370","3059","5429","2685","2928","5613"
"40～44","1879","1955","3834","2989","3370","6359","1700","1757","3457","2692","3248","5940","2994","3108","6102"
"45～49","1749","1794","3543","2770","3192","5962","1619","1810","3429","2463","3279","5742","3100","3082","6182"
"50～54","1492","1480","2972","2312","2460","4772","1478","1554","3032","2239","2758","4997","2606","2223","4829"
"55～59","1128","1173","2301","1682","1743","3425","1185","1257","2442","1711","2007","3718","1707","1553","3260"
"60～64","882","849","1731","1220","1235","2455","885","1020","1905","1369","1558","2927","1068","1031","2099"
"65～69","809","968","1777","1100","1302","2402","841","1035","1876","1362","1682","3044","951","1025","1976"
"70～74","859","972","1831","1045","1279","2324","786","1036","1822","1260","1613","2873","816","969","1785"
"75～79","606","831","1437","737","1046","1783","581","831","1412","937","1380","2317","567","913","1480"
"80～84","420","712","1132","506","786","1292","397","725","1122","670","1100","1770","423","664","1087"
"85～89","256","469","725","310","616","926","277","625","902","409","805","1214","201","395","596"
"90～94","75","240","315","116","400","516","97","291","388","151","463","614","71","190","261"
"95～99","17","83","100","29","139","168","29","120","149","30","173","203","7","43","50"
"100～","2","15","17","5","27","32","5","18","23","4","27","31","0","12","12"
"合計","19550","21290","40840","29015","32203","61218","17416","19846","37262","27776","34074","61850","27569","28687","56256"

"令和元年度港区行政資料集　年齢（５歳階級）別・総合支所別人口","Ver201901",,,,,,,,,,,,,,
