"区分","面積[平法キロメートル]","人口[人]","世帯数","全産業事業所数","全産業従業者数[人]","公道延長[メートル]","公園面積[平法メートル]","１人当たり公園面積[平法メートル]","新設着工住宅戸数","令和2年度 特別区税額[円]","令和2年度 財調収入[円]"
"23区総計","627.53","9565985","5320624","494337","7550364","11985125","42220753.86","4.374338679","104829","1139991534000","937993525000"
"千代田","11.66","67531","38308","31065","942339","175573","1709388.65","25.47941764","1393","20573851000","1628804000"
"中央","10.21","172904","98043","35745","755348","193346","627977.12","3.685765969","2338","32478391000","13291275000"
"港","20.37","260521","148746","37116","989196","303319","1407023.13","5.449353718","2907","82850638000","0"
"新宿","18.22","345609","222044","32274","651285","356805","1147112.53","3.317146926","3571","50011064000","24195618000"
"文京","11.29","228736","125604","13018","206165","207455","553078.05","2.339833104","2861","36317776000","18517969000"
"台東","10.11","206134","127059","22770","227175","258517","773676.22","3.670173386","4222","23543307000","25173817000"
"墨田","13.77","278184","160240","15492","153761","296988","782267.08","2.883338666","5474","26488205000","38075762000"
"江東","43.01","530299","281030","18024","356931","395914","5165650.11","9.858148523","5782","55350524000","56423754000"
"品川","22.84","404504","228672","20123","371830","390299","1369634.59","3.291038035","5298","52996147000","38113286000"
"目黒","14.67","278748","157988","11389","122466","359250","490114.47","1.705849593","2558","47686802000","13771470000"
"大田","61.86","730005","401872","29497","349551","854088","2964475.99","4.012148185","9053","78562537000","65197141000"
"世田谷","58.05","917718","492603","27034","262689","1186637","2886818.56","3.064289978","8752","128612553000","46550768000"
"渋谷","15.11","229576","140510","29816","515503","271796","1644143.55","6.987999668","2947","55283311000","225809000"
"中野","15.59","334062","209096","12068","121982","368947","492391.06","1.441244398","4487","36085362000","34490381000"
"杉並","34.06","572043","326775","19246","157249","688849","1227876.17","2.099913584","5163","67511196000","41166454000"
"豊島","13.01","287595","180363","18962","259658","307754","233106.14","0.783457879","4111","34825599000","28805400000"
"北","20.61","353283","201899","12536","124765","375375","1079288.01","3.056131189","4329","30877737000","48709093000"
"荒川","10.16","216474","118617","9060","75404","215350","452177.58","2.074551669","2551","18437450000","37279826000"
"板橋","32.22","568976","320493","17825","195069","740392","1946979.44","3.343205837","5890","48482243000","66256868000"
"練馬","48.08","739340","384877","20278","172477","1141097","2137966.40","2.87502508","5511","69278731000","80831907000"
"足立","53.25","690309","364080","23557","215361","1063537","3268441.98","4.78362019","7053","51515303000","97437970000"
"葛飾","34.80","463600","242858","16636","128556","754050","2015475.26","4.443297406","5238","35416189000","71537071000"
"江戸川","49.90","689834","348847","20228","176836","1079787","7810931.82","11.31448461","3340","56806618000","90313082000"
"境界未定","4.68",,,"578","18768",,,,,,
"23区に占める港区の割合[%]","3.25","2.72","2.80","7.51","13.10","2.53","3.33","124.58","2.77","7.27","0.00"
"順位","12","17","17","1","1","16","11","5","18","2","23"

"令和4年度港区行政資料集　２３区勢一覧","Ver202203",,,,,,,,,,
