"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","廃止届収受日","施設種別"
"202404","クリーニングショップトモエ　青山店","107-0061","東京都港区北青山三丁目3番7号",,"2024/4/15","取次所"
"202405","プラウド元麻布","106-0046","東京都港区元麻布二丁目14番9号",,"2024/5/7","取次所"
"202405","マルエツ　プチ　白金台店","108-0071","東京都港区白金台四丁目7番8号",,"2024/5/30","取次所"
"202405","マルエツ　プチ　東麻布店","106-0044","東京都港区東麻布一丁目9番15号",,"2024/5/30","取次所"

"クリーニング所廃止一覧(令和6年5月31日現在)","Ver202405",,,,,
