 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"1,092,793",95.5%,"1,144,444","2,939,620",95.0%,"3,093,290"
,,その他化学工業品,"172,776",106.6%,"162,089","445,894",100.0%,"445,698"
,,産業機械,"157,923",85.9%,"183,853","435,502",89.2%,"488,175"
,,再利用資材,"157,866",92.7%,"170,387","417,165",90.8%,"459,666"
,,自動車部品,"122,698",85.4%,"143,630","354,559",97.8%,"362,623"
,,電気機械,"66,208",94.9%,"69,795","167,995",96.4%,"174,274"
,,金属くず,"46,302",200.5%,"23,097","139,293",140.0%,"99,481"
,,ゴム製品,"29,805",100.2%,"29,743","78,686",86.8%,"90,655"
,,金属製品,"28,945",99.1%,"29,212","77,438",101.9%,"75,966"
,輸入,合計,"3,103,448",115.5%,"2,686,132","8,702,123",100.2%,"8,682,939"
,,衣服・身廻品・はきもの,"373,985",121.7%,"307,190","1,090,702",99.9%,"1,091,406"
,,電気機械,"279,507",118.9%,"235,151","793,242",106.0%,"748,375"
,,製造食品,"217,396",115.4%,"188,417","591,627",101.5%,"583,171"
,,その他化学工業品,"208,623",135.6%,"153,807","585,430",109.4%,"535,361"
,,家具装備品,"188,617",150.2%,"125,549","528,527",102.2%,"517,016"
,,野菜・果物,"156,000",81.1%,"192,420","427,686",84.8%,"504,460"
,,その他畜産品,"138,440",103.5%,"133,759","383,247",96.1%,"398,651"
,,金属製品,"136,563",130.2%,"104,897","368,999",110.7%,"333,469"
内貿貨物,移出,合計,"1,413,344",95.0%,"1,487,102","3,751,248",93.4%,"4,017,594"
,,完成自動車,"753,517",95.3%,"790,718","2,013,097",100.3%,"2,007,957"
,,取合せ品,"281,305",105.5%,"266,560","730,274",100.6%,"725,658"
,,廃土砂,"101,255",76.9%,"131,691","273,836",62.1%,"440,704"
,,重油,"26,442",133.2%,"19,849","63,127",119.4%,"52,875"
,,飲料,"24,700",89.6%,"27,571","64,641",88.5%,"73,051"
,,再利用資材,"23,654",67.0%,"35,294","64,148",66.8%,"96,101"
,,その他日用品,"21,125",119.2%,"17,719","53,053",119.3%,"44,465"
,,紙・パ　ル　プ,"17,142",118.2%,"14,505","64,481",129.7%,"49,714"
,移入,合計,"2,302,721",99.7%,"2,309,826","6,394,860",100.5%,"6,364,450"
,,完成自動車,"581,543",99.9%,"582,298","1,532,254",106.1%,"1,444,034"
,,その他の石油,"378,794",102.4%,"370,074","1,153,859",103.0%,"1,120,000"
,,砂利・砂,"375,278",88.4%,"424,541","1,031,847",92.1%,"1,120,211"
,,セメント,"238,243",120.0%,"198,465","675,855",104.6%,"646,339"
,,取合せ品,"202,941",102.8%,"197,330","543,754",96.1%,"565,547"
,,紙・パ　ル　プ,"125,558",95.2%,"131,852","362,648",100.0%,"362,557"
,,鋼材,"101,771",91.6%,"111,078","281,136",99.0%,"284,050"
,,石材,"85,799",100.6%,"85,246","245,332",98.4%,"249,405"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
